,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
13534,20201,,Serbia,2020-01-22,0.0,0.0
13535,20202,,Serbia,2020-01-23,0.0,0.0
13536,20203,,Serbia,2020-01-24,0.0,0.0
13537,20204,,Serbia,2020-01-25,0.0,0.0
13538,20205,,Serbia,2020-01-26,0.0,0.0
13539,20206,,Serbia,2020-01-27,0.0,0.0
13540,20207,,Serbia,2020-01-28,0.0,0.0
13541,20208,,Serbia,2020-01-29,0.0,0.0
13542,20209,,Serbia,2020-01-30,0.0,0.0
13543,20210,,Serbia,2020-01-31,0.0,0.0
13544,20211,,Serbia,2020-02-01,0.0,0.0
13545,20212,,Serbia,2020-02-02,0.0,0.0
13546,20213,,Serbia,2020-02-03,0.0,0.0
13547,20214,,Serbia,2020-02-04,0.0,0.0
13548,20215,,Serbia,2020-02-05,0.0,0.0
13549,20216,,Serbia,2020-02-06,0.0,0.0
13550,20217,,Serbia,2020-02-07,0.0,0.0
13551,20218,,Serbia,2020-02-08,0.0,0.0
13552,20219,,Serbia,2020-02-09,0.0,0.0
13553,20220,,Serbia,2020-02-10,0.0,0.0
13554,20221,,Serbia,2020-02-11,0.0,0.0
13555,20222,,Serbia,2020-02-12,0.0,0.0
13556,20223,,Serbia,2020-02-13,0.0,0.0
13557,20224,,Serbia,2020-02-14,0.0,0.0
13558,20225,,Serbia,2020-02-15,0.0,0.0
13559,20226,,Serbia,2020-02-16,0.0,0.0
13560,20227,,Serbia,2020-02-17,0.0,0.0
13561,20228,,Serbia,2020-02-18,0.0,0.0
13562,20229,,Serbia,2020-02-19,0.0,0.0
13563,20230,,Serbia,2020-02-20,0.0,0.0
13564,20231,,Serbia,2020-02-21,0.0,0.0
13565,20232,,Serbia,2020-02-22,0.0,0.0
13566,20233,,Serbia,2020-02-23,0.0,0.0
13567,20234,,Serbia,2020-02-24,0.0,0.0
13568,20235,,Serbia,2020-02-25,0.0,0.0
13569,20236,,Serbia,2020-02-26,0.0,0.0
13570,20237,,Serbia,2020-02-27,0.0,0.0
13571,20238,,Serbia,2020-02-28,0.0,0.0
13572,20239,,Serbia,2020-02-29,0.0,0.0
13573,20240,,Serbia,2020-03-01,0.0,0.0
13574,20241,,Serbia,2020-03-02,0.0,0.0
13575,20242,,Serbia,2020-03-03,0.0,0.0
13576,20243,,Serbia,2020-03-04,0.0,0.0
13577,20244,,Serbia,2020-03-05,0.0,0.0
13578,20245,,Serbia,2020-03-06,1.0,0.0
13579,20246,,Serbia,2020-03-07,1.0,0.0
13580,20247,,Serbia,2020-03-08,1.0,0.0
13581,20248,,Serbia,2020-03-09,1.0,0.0
13582,20249,,Serbia,2020-03-10,5.0,0.0
13583,20250,,Serbia,2020-03-11,12.0,0.0
13584,20251,,Serbia,2020-03-12,19.0,0.0
13585,20252,,Serbia,2020-03-13,35.0,0.0
13586,20253,,Serbia,2020-03-14,46.0,0.0
13587,20254,,Serbia,2020-03-15,48.0,0.0
13588,20255,,Serbia,2020-03-16,55.0,0.0
13589,20256,,Serbia,2020-03-17,65.0,0.0
13590,20257,,Serbia,2020-03-18,83.0,0.0
13591,20258,,Serbia,2020-03-19,103.0,0.0
13592,20259,,Serbia,2020-03-20,135.0,1.0
13593,20260,,Serbia,2020-03-21,171.0,1.0
13594,20261,,Serbia,2020-03-22,222.0,2.0
13595,20262,,Serbia,2020-03-23,249.0,3.0
13596,20263,,Serbia,2020-03-24,303.0,3.0
13597,20264,,Serbia,2020-03-25,384.0,4.0
13598,20265,,Serbia,2020-03-26,384.0,1.0
13599,20266,,Serbia,2020-03-27,457.0,1.0
13600,20267,,Serbia,2020-03-28,659.0,10.0
