,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
13735,20501,,Slovakia,2020-01-22,0.0,0.0
13736,20502,,Slovakia,2020-01-23,0.0,0.0
13737,20503,,Slovakia,2020-01-24,0.0,0.0
13738,20504,,Slovakia,2020-01-25,0.0,0.0
13739,20505,,Slovakia,2020-01-26,0.0,0.0
13740,20506,,Slovakia,2020-01-27,0.0,0.0
13741,20507,,Slovakia,2020-01-28,0.0,0.0
13742,20508,,Slovakia,2020-01-29,0.0,0.0
13743,20509,,Slovakia,2020-01-30,0.0,0.0
13744,20510,,Slovakia,2020-01-31,0.0,0.0
13745,20511,,Slovakia,2020-02-01,0.0,0.0
13746,20512,,Slovakia,2020-02-02,0.0,0.0
13747,20513,,Slovakia,2020-02-03,0.0,0.0
13748,20514,,Slovakia,2020-02-04,0.0,0.0
13749,20515,,Slovakia,2020-02-05,0.0,0.0
13750,20516,,Slovakia,2020-02-06,0.0,0.0
13751,20517,,Slovakia,2020-02-07,0.0,0.0
13752,20518,,Slovakia,2020-02-08,0.0,0.0
13753,20519,,Slovakia,2020-02-09,0.0,0.0
13754,20520,,Slovakia,2020-02-10,0.0,0.0
13755,20521,,Slovakia,2020-02-11,0.0,0.0
13756,20522,,Slovakia,2020-02-12,0.0,0.0
13757,20523,,Slovakia,2020-02-13,0.0,0.0
13758,20524,,Slovakia,2020-02-14,0.0,0.0
13759,20525,,Slovakia,2020-02-15,0.0,0.0
13760,20526,,Slovakia,2020-02-16,0.0,0.0
13761,20527,,Slovakia,2020-02-17,0.0,0.0
13762,20528,,Slovakia,2020-02-18,0.0,0.0
13763,20529,,Slovakia,2020-02-19,0.0,0.0
13764,20530,,Slovakia,2020-02-20,0.0,0.0
13765,20531,,Slovakia,2020-02-21,0.0,0.0
13766,20532,,Slovakia,2020-02-22,0.0,0.0
13767,20533,,Slovakia,2020-02-23,0.0,0.0
13768,20534,,Slovakia,2020-02-24,0.0,0.0
13769,20535,,Slovakia,2020-02-25,0.0,0.0
13770,20536,,Slovakia,2020-02-26,0.0,0.0
13771,20537,,Slovakia,2020-02-27,0.0,0.0
13772,20538,,Slovakia,2020-02-28,0.0,0.0
13773,20539,,Slovakia,2020-02-29,0.0,0.0
13774,20540,,Slovakia,2020-03-01,0.0,0.0
13775,20541,,Slovakia,2020-03-02,0.0,0.0
13776,20542,,Slovakia,2020-03-03,0.0,0.0
13777,20543,,Slovakia,2020-03-04,0.0,0.0
13778,20544,,Slovakia,2020-03-05,0.0,0.0
13779,20545,,Slovakia,2020-03-06,1.0,0.0
13780,20546,,Slovakia,2020-03-07,1.0,0.0
13781,20547,,Slovakia,2020-03-08,3.0,0.0
13782,20548,,Slovakia,2020-03-09,3.0,0.0
13783,20549,,Slovakia,2020-03-10,7.0,0.0
13784,20550,,Slovakia,2020-03-11,10.0,0.0
13785,20551,,Slovakia,2020-03-12,16.0,0.0
13786,20552,,Slovakia,2020-03-13,32.0,0.0
13787,20553,,Slovakia,2020-03-14,44.0,0.0
13788,20554,,Slovakia,2020-03-15,54.0,0.0
13789,20555,,Slovakia,2020-03-16,63.0,0.0
13790,20556,,Slovakia,2020-03-17,72.0,0.0
13791,20557,,Slovakia,2020-03-18,105.0,1.0
13792,20558,,Slovakia,2020-03-19,123.0,1.0
13793,20559,,Slovakia,2020-03-20,137.0,1.0
13794,20560,,Slovakia,2020-03-21,178.0,1.0
13795,20561,,Slovakia,2020-03-22,185.0,0.0
13796,20562,,Slovakia,2020-03-23,186.0,0.0
13797,20563,,Slovakia,2020-03-24,204.0,0.0
13798,20564,,Slovakia,2020-03-25,216.0,0.0
13799,20565,,Slovakia,2020-03-26,226.0,0.0
13800,20566,,Slovakia,2020-03-27,269.0,0.0
13801,20567,,Slovakia,2020-03-28,292.0,0.0
