,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
13936,20801,,South Africa,2020-01-22,0.0,0.0
13937,20802,,South Africa,2020-01-23,0.0,0.0
13938,20803,,South Africa,2020-01-24,0.0,0.0
13939,20804,,South Africa,2020-01-25,0.0,0.0
13940,20805,,South Africa,2020-01-26,0.0,0.0
13941,20806,,South Africa,2020-01-27,0.0,0.0
13942,20807,,South Africa,2020-01-28,0.0,0.0
13943,20808,,South Africa,2020-01-29,0.0,0.0
13944,20809,,South Africa,2020-01-30,0.0,0.0
13945,20810,,South Africa,2020-01-31,0.0,0.0
13946,20811,,South Africa,2020-02-01,0.0,0.0
13947,20812,,South Africa,2020-02-02,0.0,0.0
13948,20813,,South Africa,2020-02-03,0.0,0.0
13949,20814,,South Africa,2020-02-04,0.0,0.0
13950,20815,,South Africa,2020-02-05,0.0,0.0
13951,20816,,South Africa,2020-02-06,0.0,0.0
13952,20817,,South Africa,2020-02-07,0.0,0.0
13953,20818,,South Africa,2020-02-08,0.0,0.0
13954,20819,,South Africa,2020-02-09,0.0,0.0
13955,20820,,South Africa,2020-02-10,0.0,0.0
13956,20821,,South Africa,2020-02-11,0.0,0.0
13957,20822,,South Africa,2020-02-12,0.0,0.0
13958,20823,,South Africa,2020-02-13,0.0,0.0
13959,20824,,South Africa,2020-02-14,0.0,0.0
13960,20825,,South Africa,2020-02-15,0.0,0.0
13961,20826,,South Africa,2020-02-16,0.0,0.0
13962,20827,,South Africa,2020-02-17,0.0,0.0
13963,20828,,South Africa,2020-02-18,0.0,0.0
13964,20829,,South Africa,2020-02-19,0.0,0.0
13965,20830,,South Africa,2020-02-20,0.0,0.0
13966,20831,,South Africa,2020-02-21,0.0,0.0
13967,20832,,South Africa,2020-02-22,0.0,0.0
13968,20833,,South Africa,2020-02-23,0.0,0.0
13969,20834,,South Africa,2020-02-24,0.0,0.0
13970,20835,,South Africa,2020-02-25,0.0,0.0
13971,20836,,South Africa,2020-02-26,0.0,0.0
13972,20837,,South Africa,2020-02-27,0.0,0.0
13973,20838,,South Africa,2020-02-28,0.0,0.0
13974,20839,,South Africa,2020-02-29,0.0,0.0
13975,20840,,South Africa,2020-03-01,0.0,0.0
13976,20841,,South Africa,2020-03-02,0.0,0.0
13977,20842,,South Africa,2020-03-03,0.0,0.0
13978,20843,,South Africa,2020-03-04,0.0,0.0
13979,20844,,South Africa,2020-03-05,1.0,0.0
13980,20845,,South Africa,2020-03-06,1.0,0.0
13981,20846,,South Africa,2020-03-07,1.0,0.0
13982,20847,,South Africa,2020-03-08,3.0,0.0
13983,20848,,South Africa,2020-03-09,3.0,0.0
13984,20849,,South Africa,2020-03-10,7.0,0.0
13985,20850,,South Africa,2020-03-11,13.0,0.0
13986,20851,,South Africa,2020-03-12,17.0,0.0
13987,20852,,South Africa,2020-03-13,24.0,0.0
13988,20853,,South Africa,2020-03-14,38.0,0.0
13989,20854,,South Africa,2020-03-15,51.0,0.0
13990,20855,,South Africa,2020-03-16,62.0,0.0
13991,20856,,South Africa,2020-03-17,62.0,0.0
13992,20857,,South Africa,2020-03-18,116.0,0.0
13993,20858,,South Africa,2020-03-19,150.0,0.0
13994,20859,,South Africa,2020-03-20,202.0,0.0
13995,20860,,South Africa,2020-03-21,240.0,0.0
13996,20861,,South Africa,2020-03-22,274.0,0.0
13997,20862,,South Africa,2020-03-23,402.0,0.0
13998,20863,,South Africa,2020-03-24,554.0,0.0
13999,20864,,South Africa,2020-03-25,709.0,0.0
14000,20865,,South Africa,2020-03-26,927.0,0.0
14001,20866,,South Africa,2020-03-27,1170.0,1.0
14002,20867,,South Africa,2020-03-28,1187.0,1.0
