,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
14271,21301,,Sweden,2020-01-22,0.0,0.0
14272,21302,,Sweden,2020-01-23,0.0,0.0
14273,21303,,Sweden,2020-01-24,0.0,0.0
14274,21304,,Sweden,2020-01-25,0.0,0.0
14275,21305,,Sweden,2020-01-26,0.0,0.0
14276,21306,,Sweden,2020-01-27,0.0,0.0
14277,21307,,Sweden,2020-01-28,0.0,0.0
14278,21308,,Sweden,2020-01-29,0.0,0.0
14279,21309,,Sweden,2020-01-30,0.0,0.0
14280,21310,,Sweden,2020-01-31,1.0,0.0
14281,21311,,Sweden,2020-02-01,1.0,0.0
14282,21312,,Sweden,2020-02-02,1.0,0.0
14283,21313,,Sweden,2020-02-03,1.0,0.0
14284,21314,,Sweden,2020-02-04,1.0,0.0
14285,21315,,Sweden,2020-02-05,1.0,0.0
14286,21316,,Sweden,2020-02-06,1.0,0.0
14287,21317,,Sweden,2020-02-07,1.0,0.0
14288,21318,,Sweden,2020-02-08,1.0,0.0
14289,21319,,Sweden,2020-02-09,1.0,0.0
14290,21320,,Sweden,2020-02-10,1.0,0.0
14291,21321,,Sweden,2020-02-11,1.0,0.0
14292,21322,,Sweden,2020-02-12,1.0,0.0
14293,21323,,Sweden,2020-02-13,1.0,0.0
14294,21324,,Sweden,2020-02-14,1.0,0.0
14295,21325,,Sweden,2020-02-15,1.0,0.0
14296,21326,,Sweden,2020-02-16,1.0,0.0
14297,21327,,Sweden,2020-02-17,1.0,0.0
14298,21328,,Sweden,2020-02-18,1.0,0.0
14299,21329,,Sweden,2020-02-19,1.0,0.0
14300,21330,,Sweden,2020-02-20,1.0,0.0
14301,21331,,Sweden,2020-02-21,1.0,0.0
14302,21332,,Sweden,2020-02-22,1.0,0.0
14303,21333,,Sweden,2020-02-23,1.0,0.0
14304,21334,,Sweden,2020-02-24,1.0,0.0
14305,21335,,Sweden,2020-02-25,1.0,0.0
14306,21336,,Sweden,2020-02-26,2.0,0.0
14307,21337,,Sweden,2020-02-27,7.0,0.0
14308,21338,,Sweden,2020-02-28,7.0,0.0
14309,21339,,Sweden,2020-02-29,12.0,0.0
14310,21340,,Sweden,2020-03-01,14.0,0.0
14311,21341,,Sweden,2020-03-02,15.0,0.0
14312,21342,,Sweden,2020-03-03,21.0,0.0
14313,21343,,Sweden,2020-03-04,35.0,0.0
14314,21344,,Sweden,2020-03-05,94.0,0.0
14315,21345,,Sweden,2020-03-06,101.0,0.0
14316,21346,,Sweden,2020-03-07,161.0,0.0
14317,21347,,Sweden,2020-03-08,203.0,0.0
14318,21348,,Sweden,2020-03-09,248.0,0.0
14319,21349,,Sweden,2020-03-10,355.0,0.0
14320,21350,,Sweden,2020-03-11,500.0,1.0
14321,21351,,Sweden,2020-03-12,599.0,1.0
14322,21352,,Sweden,2020-03-13,814.0,1.0
14323,21353,,Sweden,2020-03-14,961.0,2.0
14324,21354,,Sweden,2020-03-15,1022.0,3.0
14325,21355,,Sweden,2020-03-16,1103.0,6.0
14326,21356,,Sweden,2020-03-17,1190.0,7.0
14327,21357,,Sweden,2020-03-18,1279.0,10.0
14328,21358,,Sweden,2020-03-19,1439.0,11.0
14329,21359,,Sweden,2020-03-20,1639.0,16.0
14330,21360,,Sweden,2020-03-21,1763.0,20.0
14331,21361,,Sweden,2020-03-22,1934.0,21.0
14332,21362,,Sweden,2020-03-23,2046.0,25.0
14333,21363,,Sweden,2020-03-24,2286.0,36.0
14334,21364,,Sweden,2020-03-25,2526.0,62.0
14335,21365,,Sweden,2020-03-26,2840.0,77.0
14336,21366,,Sweden,2020-03-27,3069.0,105.0
14337,21367,,Sweden,2020-03-28,3447.0,105.0
