,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
14606,21801,,Thailand,2020-01-22,2.0,0.0
14607,21802,,Thailand,2020-01-23,3.0,0.0
14608,21803,,Thailand,2020-01-24,5.0,0.0
14609,21804,,Thailand,2020-01-25,7.0,0.0
14610,21805,,Thailand,2020-01-26,8.0,0.0
14611,21806,,Thailand,2020-01-27,8.0,0.0
14612,21807,,Thailand,2020-01-28,14.0,0.0
14613,21808,,Thailand,2020-01-29,14.0,0.0
14614,21809,,Thailand,2020-01-30,14.0,0.0
14615,21810,,Thailand,2020-01-31,19.0,0.0
14616,21811,,Thailand,2020-02-01,19.0,0.0
14617,21812,,Thailand,2020-02-02,19.0,0.0
14618,21813,,Thailand,2020-02-03,19.0,0.0
14619,21814,,Thailand,2020-02-04,25.0,0.0
14620,21815,,Thailand,2020-02-05,25.0,0.0
14621,21816,,Thailand,2020-02-06,25.0,0.0
14622,21817,,Thailand,2020-02-07,25.0,0.0
14623,21818,,Thailand,2020-02-08,32.0,0.0
14624,21819,,Thailand,2020-02-09,32.0,0.0
14625,21820,,Thailand,2020-02-10,32.0,0.0
14626,21821,,Thailand,2020-02-11,33.0,0.0
14627,21822,,Thailand,2020-02-12,33.0,0.0
14628,21823,,Thailand,2020-02-13,33.0,0.0
14629,21824,,Thailand,2020-02-14,33.0,0.0
14630,21825,,Thailand,2020-02-15,33.0,0.0
14631,21826,,Thailand,2020-02-16,34.0,0.0
14632,21827,,Thailand,2020-02-17,35.0,0.0
14633,21828,,Thailand,2020-02-18,35.0,0.0
14634,21829,,Thailand,2020-02-19,35.0,0.0
14635,21830,,Thailand,2020-02-20,35.0,0.0
14636,21831,,Thailand,2020-02-21,35.0,0.0
14637,21832,,Thailand,2020-02-22,35.0,0.0
14638,21833,,Thailand,2020-02-23,35.0,0.0
14639,21834,,Thailand,2020-02-24,35.0,0.0
14640,21835,,Thailand,2020-02-25,37.0,0.0
14641,21836,,Thailand,2020-02-26,40.0,0.0
14642,21837,,Thailand,2020-02-27,40.0,0.0
14643,21838,,Thailand,2020-02-28,41.0,0.0
14644,21839,,Thailand,2020-02-29,42.0,0.0
14645,21840,,Thailand,2020-03-01,42.0,1.0
14646,21841,,Thailand,2020-03-02,43.0,1.0
14647,21842,,Thailand,2020-03-03,43.0,1.0
14648,21843,,Thailand,2020-03-04,43.0,1.0
14649,21844,,Thailand,2020-03-05,47.0,1.0
14650,21845,,Thailand,2020-03-06,48.0,1.0
14651,21846,,Thailand,2020-03-07,50.0,1.0
14652,21847,,Thailand,2020-03-08,50.0,1.0
14653,21848,,Thailand,2020-03-09,50.0,1.0
14654,21849,,Thailand,2020-03-10,53.0,1.0
14655,21850,,Thailand,2020-03-11,59.0,1.0
14656,21851,,Thailand,2020-03-12,70.0,1.0
14657,21852,,Thailand,2020-03-13,75.0,1.0
14658,21853,,Thailand,2020-03-14,82.0,1.0
14659,21854,,Thailand,2020-03-15,114.0,1.0
14660,21855,,Thailand,2020-03-16,147.0,1.0
14661,21856,,Thailand,2020-03-17,177.0,1.0
14662,21857,,Thailand,2020-03-18,212.0,1.0
14663,21858,,Thailand,2020-03-19,272.0,1.0
14664,21859,,Thailand,2020-03-20,322.0,1.0
14665,21860,,Thailand,2020-03-21,411.0,1.0
14666,21861,,Thailand,2020-03-22,599.0,1.0
14667,21862,,Thailand,2020-03-23,721.0,1.0
14668,21863,,Thailand,2020-03-24,827.0,4.0
14669,21864,,Thailand,2020-03-25,934.0,4.0
14670,21865,,Thailand,2020-03-26,1045.0,4.0
14671,21866,,Thailand,2020-03-27,1136.0,5.0
14672,21867,,Thailand,2020-03-28,1245.0,6.0
