,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
14874,22201,,Tunisia,2020-01-22,0.0,0.0
14875,22202,,Tunisia,2020-01-23,0.0,0.0
14876,22203,,Tunisia,2020-01-24,0.0,0.0
14877,22204,,Tunisia,2020-01-25,0.0,0.0
14878,22205,,Tunisia,2020-01-26,0.0,0.0
14879,22206,,Tunisia,2020-01-27,0.0,0.0
14880,22207,,Tunisia,2020-01-28,0.0,0.0
14881,22208,,Tunisia,2020-01-29,0.0,0.0
14882,22209,,Tunisia,2020-01-30,0.0,0.0
14883,22210,,Tunisia,2020-01-31,0.0,0.0
14884,22211,,Tunisia,2020-02-01,0.0,0.0
14885,22212,,Tunisia,2020-02-02,0.0,0.0
14886,22213,,Tunisia,2020-02-03,0.0,0.0
14887,22214,,Tunisia,2020-02-04,0.0,0.0
14888,22215,,Tunisia,2020-02-05,0.0,0.0
14889,22216,,Tunisia,2020-02-06,0.0,0.0
14890,22217,,Tunisia,2020-02-07,0.0,0.0
14891,22218,,Tunisia,2020-02-08,0.0,0.0
14892,22219,,Tunisia,2020-02-09,0.0,0.0
14893,22220,,Tunisia,2020-02-10,0.0,0.0
14894,22221,,Tunisia,2020-02-11,0.0,0.0
14895,22222,,Tunisia,2020-02-12,0.0,0.0
14896,22223,,Tunisia,2020-02-13,0.0,0.0
14897,22224,,Tunisia,2020-02-14,0.0,0.0
14898,22225,,Tunisia,2020-02-15,0.0,0.0
14899,22226,,Tunisia,2020-02-16,0.0,0.0
14900,22227,,Tunisia,2020-02-17,0.0,0.0
14901,22228,,Tunisia,2020-02-18,0.0,0.0
14902,22229,,Tunisia,2020-02-19,0.0,0.0
14903,22230,,Tunisia,2020-02-20,0.0,0.0
14904,22231,,Tunisia,2020-02-21,0.0,0.0
14905,22232,,Tunisia,2020-02-22,0.0,0.0
14906,22233,,Tunisia,2020-02-23,0.0,0.0
14907,22234,,Tunisia,2020-02-24,0.0,0.0
14908,22235,,Tunisia,2020-02-25,0.0,0.0
14909,22236,,Tunisia,2020-02-26,0.0,0.0
14910,22237,,Tunisia,2020-02-27,0.0,0.0
14911,22238,,Tunisia,2020-02-28,0.0,0.0
14912,22239,,Tunisia,2020-02-29,0.0,0.0
14913,22240,,Tunisia,2020-03-01,0.0,0.0
14914,22241,,Tunisia,2020-03-02,0.0,0.0
14915,22242,,Tunisia,2020-03-03,0.0,0.0
14916,22243,,Tunisia,2020-03-04,1.0,0.0
14917,22244,,Tunisia,2020-03-05,1.0,0.0
14918,22245,,Tunisia,2020-03-06,1.0,0.0
14919,22246,,Tunisia,2020-03-07,1.0,0.0
14920,22247,,Tunisia,2020-03-08,2.0,0.0
14921,22248,,Tunisia,2020-03-09,2.0,0.0
14922,22249,,Tunisia,2020-03-10,5.0,0.0
14923,22250,,Tunisia,2020-03-11,7.0,0.0
14924,22251,,Tunisia,2020-03-12,7.0,0.0
14925,22252,,Tunisia,2020-03-13,16.0,0.0
14926,22253,,Tunisia,2020-03-14,18.0,0.0
14927,22254,,Tunisia,2020-03-15,18.0,0.0
14928,22255,,Tunisia,2020-03-16,20.0,0.0
14929,22256,,Tunisia,2020-03-17,24.0,0.0
14930,22257,,Tunisia,2020-03-18,29.0,0.0
14931,22258,,Tunisia,2020-03-19,39.0,1.0
14932,22259,,Tunisia,2020-03-20,54.0,1.0
14933,22260,,Tunisia,2020-03-21,60.0,1.0
14934,22261,,Tunisia,2020-03-22,75.0,3.0
14935,22262,,Tunisia,2020-03-23,89.0,3.0
14936,22263,,Tunisia,2020-03-24,114.0,4.0
14937,22264,,Tunisia,2020-03-25,173.0,5.0
14938,22265,,Tunisia,2020-03-26,197.0,6.0
14939,22266,,Tunisia,2020-03-27,227.0,6.0
14940,22267,,Tunisia,2020-03-28,278.0,8.0
