,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
14941,22301,,Turkey,2020-01-22,0.0,0.0
14942,22302,,Turkey,2020-01-23,0.0,0.0
14943,22303,,Turkey,2020-01-24,0.0,0.0
14944,22304,,Turkey,2020-01-25,0.0,0.0
14945,22305,,Turkey,2020-01-26,0.0,0.0
14946,22306,,Turkey,2020-01-27,0.0,0.0
14947,22307,,Turkey,2020-01-28,0.0,0.0
14948,22308,,Turkey,2020-01-29,0.0,0.0
14949,22309,,Turkey,2020-01-30,0.0,0.0
14950,22310,,Turkey,2020-01-31,0.0,0.0
14951,22311,,Turkey,2020-02-01,0.0,0.0
14952,22312,,Turkey,2020-02-02,0.0,0.0
14953,22313,,Turkey,2020-02-03,0.0,0.0
14954,22314,,Turkey,2020-02-04,0.0,0.0
14955,22315,,Turkey,2020-02-05,0.0,0.0
14956,22316,,Turkey,2020-02-06,0.0,0.0
14957,22317,,Turkey,2020-02-07,0.0,0.0
14958,22318,,Turkey,2020-02-08,0.0,0.0
14959,22319,,Turkey,2020-02-09,0.0,0.0
14960,22320,,Turkey,2020-02-10,0.0,0.0
14961,22321,,Turkey,2020-02-11,0.0,0.0
14962,22322,,Turkey,2020-02-12,0.0,0.0
14963,22323,,Turkey,2020-02-13,0.0,0.0
14964,22324,,Turkey,2020-02-14,0.0,0.0
14965,22325,,Turkey,2020-02-15,0.0,0.0
14966,22326,,Turkey,2020-02-16,0.0,0.0
14967,22327,,Turkey,2020-02-17,0.0,0.0
14968,22328,,Turkey,2020-02-18,0.0,0.0
14969,22329,,Turkey,2020-02-19,0.0,0.0
14970,22330,,Turkey,2020-02-20,0.0,0.0
14971,22331,,Turkey,2020-02-21,0.0,0.0
14972,22332,,Turkey,2020-02-22,0.0,0.0
14973,22333,,Turkey,2020-02-23,0.0,0.0
14974,22334,,Turkey,2020-02-24,0.0,0.0
14975,22335,,Turkey,2020-02-25,0.0,0.0
14976,22336,,Turkey,2020-02-26,0.0,0.0
14977,22337,,Turkey,2020-02-27,0.0,0.0
14978,22338,,Turkey,2020-02-28,0.0,0.0
14979,22339,,Turkey,2020-02-29,0.0,0.0
14980,22340,,Turkey,2020-03-01,0.0,0.0
14981,22341,,Turkey,2020-03-02,0.0,0.0
14982,22342,,Turkey,2020-03-03,0.0,0.0
14983,22343,,Turkey,2020-03-04,0.0,0.0
14984,22344,,Turkey,2020-03-05,0.0,0.0
14985,22345,,Turkey,2020-03-06,0.0,0.0
14986,22346,,Turkey,2020-03-07,0.0,0.0
14987,22347,,Turkey,2020-03-08,0.0,0.0
14988,22348,,Turkey,2020-03-09,0.0,0.0
14989,22349,,Turkey,2020-03-10,0.0,0.0
14990,22350,,Turkey,2020-03-11,1.0,0.0
14991,22351,,Turkey,2020-03-12,1.0,0.0
14992,22352,,Turkey,2020-03-13,5.0,0.0
14993,22353,,Turkey,2020-03-14,5.0,0.0
14994,22354,,Turkey,2020-03-15,6.0,0.0
14995,22355,,Turkey,2020-03-16,18.0,0.0
14996,22356,,Turkey,2020-03-17,47.0,1.0
14997,22357,,Turkey,2020-03-18,98.0,1.0
14998,22358,,Turkey,2020-03-19,192.0,3.0
14999,22359,,Turkey,2020-03-20,359.0,4.0
15000,22360,,Turkey,2020-03-21,670.0,9.0
15001,22361,,Turkey,2020-03-22,1236.0,30.0
15002,22362,,Turkey,2020-03-23,1529.0,37.0
15003,22363,,Turkey,2020-03-24,1872.0,44.0
15004,22364,,Turkey,2020-03-25,2433.0,59.0
15005,22365,,Turkey,2020-03-26,3629.0,75.0
15006,22366,,Turkey,2020-03-27,5698.0,92.0
15007,22367,,Turkey,2020-03-28,7402.0,108.0
