,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
15209,22701,Arkansas,US,2020-01-22,0.0,0.0
15210,22702,Arkansas,US,2020-01-23,0.0,0.0
15211,22703,Arkansas,US,2020-01-24,0.0,0.0
15212,22704,Arkansas,US,2020-01-25,0.0,0.0
15213,22705,Arkansas,US,2020-01-26,0.0,0.0
15214,22706,Arkansas,US,2020-01-27,0.0,0.0
15215,22707,Arkansas,US,2020-01-28,0.0,0.0
15216,22708,Arkansas,US,2020-01-29,0.0,0.0
15217,22709,Arkansas,US,2020-01-30,0.0,0.0
15218,22710,Arkansas,US,2020-01-31,0.0,0.0
15219,22711,Arkansas,US,2020-02-01,0.0,0.0
15220,22712,Arkansas,US,2020-02-02,0.0,0.0
15221,22713,Arkansas,US,2020-02-03,0.0,0.0
15222,22714,Arkansas,US,2020-02-04,0.0,0.0
15223,22715,Arkansas,US,2020-02-05,0.0,0.0
15224,22716,Arkansas,US,2020-02-06,0.0,0.0
15225,22717,Arkansas,US,2020-02-07,0.0,0.0
15226,22718,Arkansas,US,2020-02-08,0.0,0.0
15227,22719,Arkansas,US,2020-02-09,0.0,0.0
15228,22720,Arkansas,US,2020-02-10,0.0,0.0
15229,22721,Arkansas,US,2020-02-11,0.0,0.0
15230,22722,Arkansas,US,2020-02-12,0.0,0.0
15231,22723,Arkansas,US,2020-02-13,0.0,0.0
15232,22724,Arkansas,US,2020-02-14,0.0,0.0
15233,22725,Arkansas,US,2020-02-15,0.0,0.0
15234,22726,Arkansas,US,2020-02-16,0.0,0.0
15235,22727,Arkansas,US,2020-02-17,0.0,0.0
15236,22728,Arkansas,US,2020-02-18,0.0,0.0
15237,22729,Arkansas,US,2020-02-19,0.0,0.0
15238,22730,Arkansas,US,2020-02-20,0.0,0.0
15239,22731,Arkansas,US,2020-02-21,0.0,0.0
15240,22732,Arkansas,US,2020-02-22,0.0,0.0
15241,22733,Arkansas,US,2020-02-23,0.0,0.0
15242,22734,Arkansas,US,2020-02-24,0.0,0.0
15243,22735,Arkansas,US,2020-02-25,0.0,0.0
15244,22736,Arkansas,US,2020-02-26,0.0,0.0
15245,22737,Arkansas,US,2020-02-27,0.0,0.0
15246,22738,Arkansas,US,2020-02-28,0.0,0.0
15247,22739,Arkansas,US,2020-02-29,0.0,0.0
15248,22740,Arkansas,US,2020-03-01,0.0,0.0
15249,22741,Arkansas,US,2020-03-02,0.0,0.0
15250,22742,Arkansas,US,2020-03-03,0.0,0.0
15251,22743,Arkansas,US,2020-03-04,0.0,0.0
15252,22744,Arkansas,US,2020-03-05,0.0,0.0
15253,22745,Arkansas,US,2020-03-06,0.0,0.0
15254,22746,Arkansas,US,2020-03-07,0.0,0.0
15255,22747,Arkansas,US,2020-03-08,0.0,0.0
15256,22748,Arkansas,US,2020-03-09,0.0,0.0
15257,22749,Arkansas,US,2020-03-10,0.0,0.0
15258,22750,Arkansas,US,2020-03-11,1.0,0.0
15259,22751,Arkansas,US,2020-03-12,6.0,0.0
15260,22752,Arkansas,US,2020-03-13,6.0,0.0
15261,22753,Arkansas,US,2020-03-14,12.0,0.0
15262,22754,Arkansas,US,2020-03-15,16.0,0.0
15263,22755,Arkansas,US,2020-03-16,22.0,0.0
15264,22756,Arkansas,US,2020-03-17,22.0,0.0
15265,22757,Arkansas,US,2020-03-18,33.0,0.0
15266,22758,Arkansas,US,2020-03-19,62.0,0.0
15267,22759,Arkansas,US,2020-03-20,96.0,0.0
15268,22760,Arkansas,US,2020-03-21,122.0,0.0
15269,22761,Arkansas,US,2020-03-22,165.0,0.0
15270,22762,Arkansas,US,2020-03-23,192.0,0.0
15271,22763,Arkansas,US,2020-03-24,219.0,2.0
15272,22764,Arkansas,US,2020-03-25,280.0,2.0
15273,22765,Arkansas,US,2020-03-26,335.0,2.0
15274,22766,Arkansas,US,2020-03-27,381.0,3.0
15275,22767,Arkansas,US,2020-03-28,409.0,5.0
