,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
15611,23301,Florida,US,2020-01-22,0.0,0.0
15612,23302,Florida,US,2020-01-23,0.0,0.0
15613,23303,Florida,US,2020-01-24,0.0,0.0
15614,23304,Florida,US,2020-01-25,0.0,0.0
15615,23305,Florida,US,2020-01-26,0.0,0.0
15616,23306,Florida,US,2020-01-27,0.0,0.0
15617,23307,Florida,US,2020-01-28,0.0,0.0
15618,23308,Florida,US,2020-01-29,0.0,0.0
15619,23309,Florida,US,2020-01-30,0.0,0.0
15620,23310,Florida,US,2020-01-31,0.0,0.0
15621,23311,Florida,US,2020-02-01,0.0,0.0
15622,23312,Florida,US,2020-02-02,0.0,0.0
15623,23313,Florida,US,2020-02-03,0.0,0.0
15624,23314,Florida,US,2020-02-04,0.0,0.0
15625,23315,Florida,US,2020-02-05,0.0,0.0
15626,23316,Florida,US,2020-02-06,0.0,0.0
15627,23317,Florida,US,2020-02-07,0.0,0.0
15628,23318,Florida,US,2020-02-08,0.0,0.0
15629,23319,Florida,US,2020-02-09,0.0,0.0
15630,23320,Florida,US,2020-02-10,0.0,0.0
15631,23321,Florida,US,2020-02-11,0.0,0.0
15632,23322,Florida,US,2020-02-12,0.0,0.0
15633,23323,Florida,US,2020-02-13,0.0,0.0
15634,23324,Florida,US,2020-02-14,0.0,0.0
15635,23325,Florida,US,2020-02-15,0.0,0.0
15636,23326,Florida,US,2020-02-16,0.0,0.0
15637,23327,Florida,US,2020-02-17,0.0,0.0
15638,23328,Florida,US,2020-02-18,0.0,0.0
15639,23329,Florida,US,2020-02-19,0.0,0.0
15640,23330,Florida,US,2020-02-20,0.0,0.0
15641,23331,Florida,US,2020-02-21,0.0,0.0
15642,23332,Florida,US,2020-02-22,0.0,0.0
15643,23333,Florida,US,2020-02-23,0.0,0.0
15644,23334,Florida,US,2020-02-24,0.0,0.0
15645,23335,Florida,US,2020-02-25,0.0,0.0
15646,23336,Florida,US,2020-02-26,0.0,0.0
15647,23337,Florida,US,2020-02-27,0.0,0.0
15648,23338,Florida,US,2020-02-28,0.0,0.0
15649,23339,Florida,US,2020-02-29,0.0,0.0
15650,23340,Florida,US,2020-03-01,0.0,0.0
15651,23341,Florida,US,2020-03-02,0.0,0.0
15652,23342,Florida,US,2020-03-03,0.0,0.0
15653,23343,Florida,US,2020-03-04,0.0,0.0
15654,23344,Florida,US,2020-03-05,0.0,0.0
15655,23345,Florida,US,2020-03-06,0.0,0.0
15656,23346,Florida,US,2020-03-07,0.0,0.0
15657,23347,Florida,US,2020-03-08,0.0,0.0
15658,23348,Florida,US,2020-03-09,0.0,0.0
15659,23349,Florida,US,2020-03-10,15.0,2.0
15660,23350,Florida,US,2020-03-11,28.0,2.0
15661,23351,Florida,US,2020-03-12,35.0,2.0
15662,23352,Florida,US,2020-03-13,50.0,2.0
15663,23353,Florida,US,2020-03-14,76.0,3.0
15664,23354,Florida,US,2020-03-15,115.0,4.0
15665,23355,Florida,US,2020-03-16,155.0,5.0
15666,23356,Florida,US,2020-03-17,216.0,6.0
15667,23357,Florida,US,2020-03-18,314.0,7.0
15668,23358,Florida,US,2020-03-19,417.0,9.0
15669,23359,Florida,US,2020-03-20,563.0,10.0
15670,23360,Florida,US,2020-03-21,659.0,13.0
15671,23361,Florida,US,2020-03-22,1004.0,13.0
15672,23362,Florida,US,2020-03-23,1227.0,18.0
15673,23363,Florida,US,2020-03-24,1412.0,18.0
15674,23364,Florida,US,2020-03-25,1682.0,23.0
15675,23365,Florida,US,2020-03-26,2357.0,29.0
15676,23366,Florida,US,2020-03-27,2900.0,35.0
15677,23367,Florida,US,2020-03-28,3763.0,54.0
