,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16080,24001,Iowa,US,2020-01-22,0.0,0.0
16081,24002,Iowa,US,2020-01-23,0.0,0.0
16082,24003,Iowa,US,2020-01-24,0.0,0.0
16083,24004,Iowa,US,2020-01-25,0.0,0.0
16084,24005,Iowa,US,2020-01-26,0.0,0.0
16085,24006,Iowa,US,2020-01-27,0.0,0.0
16086,24007,Iowa,US,2020-01-28,0.0,0.0
16087,24008,Iowa,US,2020-01-29,0.0,0.0
16088,24009,Iowa,US,2020-01-30,0.0,0.0
16089,24010,Iowa,US,2020-01-31,0.0,0.0
16090,24011,Iowa,US,2020-02-01,0.0,0.0
16091,24012,Iowa,US,2020-02-02,0.0,0.0
16092,24013,Iowa,US,2020-02-03,0.0,0.0
16093,24014,Iowa,US,2020-02-04,0.0,0.0
16094,24015,Iowa,US,2020-02-05,0.0,0.0
16095,24016,Iowa,US,2020-02-06,0.0,0.0
16096,24017,Iowa,US,2020-02-07,0.0,0.0
16097,24018,Iowa,US,2020-02-08,0.0,0.0
16098,24019,Iowa,US,2020-02-09,0.0,0.0
16099,24020,Iowa,US,2020-02-10,0.0,0.0
16100,24021,Iowa,US,2020-02-11,0.0,0.0
16101,24022,Iowa,US,2020-02-12,0.0,0.0
16102,24023,Iowa,US,2020-02-13,0.0,0.0
16103,24024,Iowa,US,2020-02-14,0.0,0.0
16104,24025,Iowa,US,2020-02-15,0.0,0.0
16105,24026,Iowa,US,2020-02-16,0.0,0.0
16106,24027,Iowa,US,2020-02-17,0.0,0.0
16107,24028,Iowa,US,2020-02-18,0.0,0.0
16108,24029,Iowa,US,2020-02-19,0.0,0.0
16109,24030,Iowa,US,2020-02-20,0.0,0.0
16110,24031,Iowa,US,2020-02-21,0.0,0.0
16111,24032,Iowa,US,2020-02-22,0.0,0.0
16112,24033,Iowa,US,2020-02-23,0.0,0.0
16113,24034,Iowa,US,2020-02-24,0.0,0.0
16114,24035,Iowa,US,2020-02-25,0.0,0.0
16115,24036,Iowa,US,2020-02-26,0.0,0.0
16116,24037,Iowa,US,2020-02-27,0.0,0.0
16117,24038,Iowa,US,2020-02-28,0.0,0.0
16118,24039,Iowa,US,2020-02-29,0.0,0.0
16119,24040,Iowa,US,2020-03-01,0.0,0.0
16120,24041,Iowa,US,2020-03-02,0.0,0.0
16121,24042,Iowa,US,2020-03-03,0.0,0.0
16122,24043,Iowa,US,2020-03-04,0.0,0.0
16123,24044,Iowa,US,2020-03-05,0.0,0.0
16124,24045,Iowa,US,2020-03-06,0.0,0.0
16125,24046,Iowa,US,2020-03-07,0.0,0.0
16126,24047,Iowa,US,2020-03-08,0.0,0.0
16127,24048,Iowa,US,2020-03-09,0.0,0.0
16128,24049,Iowa,US,2020-03-10,8.0,0.0
16129,24050,Iowa,US,2020-03-11,13.0,0.0
16130,24051,Iowa,US,2020-03-12,16.0,0.0
16131,24052,Iowa,US,2020-03-13,17.0,0.0
16132,24053,Iowa,US,2020-03-14,17.0,0.0
16133,24054,Iowa,US,2020-03-15,18.0,0.0
16134,24055,Iowa,US,2020-03-16,23.0,0.0
16135,24056,Iowa,US,2020-03-17,23.0,0.0
16136,24057,Iowa,US,2020-03-18,29.0,0.0
16137,24058,Iowa,US,2020-03-19,44.0,0.0
16138,24059,Iowa,US,2020-03-20,45.0,0.0
16139,24060,Iowa,US,2020-03-21,68.0,0.0
16140,24061,Iowa,US,2020-03-22,90.0,0.0
16141,24062,Iowa,US,2020-03-23,105.0,0.0
16142,24063,Iowa,US,2020-03-24,124.0,0.0
16143,24064,Iowa,US,2020-03-25,146.0,1.0
16144,24065,Iowa,US,2020-03-26,179.0,1.0
16145,24066,Iowa,US,2020-03-27,235.0,3.0
16146,24067,Iowa,US,2020-03-28,298.0,3.0
