,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16147,24101,Kansas,US,2020-01-22,0.0,0.0
16148,24102,Kansas,US,2020-01-23,0.0,0.0
16149,24103,Kansas,US,2020-01-24,0.0,0.0
16150,24104,Kansas,US,2020-01-25,0.0,0.0
16151,24105,Kansas,US,2020-01-26,0.0,0.0
16152,24106,Kansas,US,2020-01-27,0.0,0.0
16153,24107,Kansas,US,2020-01-28,0.0,0.0
16154,24108,Kansas,US,2020-01-29,0.0,0.0
16155,24109,Kansas,US,2020-01-30,0.0,0.0
16156,24110,Kansas,US,2020-01-31,0.0,0.0
16157,24111,Kansas,US,2020-02-01,0.0,0.0
16158,24112,Kansas,US,2020-02-02,0.0,0.0
16159,24113,Kansas,US,2020-02-03,0.0,0.0
16160,24114,Kansas,US,2020-02-04,0.0,0.0
16161,24115,Kansas,US,2020-02-05,0.0,0.0
16162,24116,Kansas,US,2020-02-06,0.0,0.0
16163,24117,Kansas,US,2020-02-07,0.0,0.0
16164,24118,Kansas,US,2020-02-08,0.0,0.0
16165,24119,Kansas,US,2020-02-09,0.0,0.0
16166,24120,Kansas,US,2020-02-10,0.0,0.0
16167,24121,Kansas,US,2020-02-11,0.0,0.0
16168,24122,Kansas,US,2020-02-12,0.0,0.0
16169,24123,Kansas,US,2020-02-13,0.0,0.0
16170,24124,Kansas,US,2020-02-14,0.0,0.0
16171,24125,Kansas,US,2020-02-15,0.0,0.0
16172,24126,Kansas,US,2020-02-16,0.0,0.0
16173,24127,Kansas,US,2020-02-17,0.0,0.0
16174,24128,Kansas,US,2020-02-18,0.0,0.0
16175,24129,Kansas,US,2020-02-19,0.0,0.0
16176,24130,Kansas,US,2020-02-20,0.0,0.0
16177,24131,Kansas,US,2020-02-21,0.0,0.0
16178,24132,Kansas,US,2020-02-22,0.0,0.0
16179,24133,Kansas,US,2020-02-23,0.0,0.0
16180,24134,Kansas,US,2020-02-24,0.0,0.0
16181,24135,Kansas,US,2020-02-25,0.0,0.0
16182,24136,Kansas,US,2020-02-26,0.0,0.0
16183,24137,Kansas,US,2020-02-27,0.0,0.0
16184,24138,Kansas,US,2020-02-28,0.0,0.0
16185,24139,Kansas,US,2020-02-29,0.0,0.0
16186,24140,Kansas,US,2020-03-01,0.0,0.0
16187,24141,Kansas,US,2020-03-02,0.0,0.0
16188,24142,Kansas,US,2020-03-03,0.0,0.0
16189,24143,Kansas,US,2020-03-04,0.0,0.0
16190,24144,Kansas,US,2020-03-05,0.0,0.0
16191,24145,Kansas,US,2020-03-06,0.0,0.0
16192,24146,Kansas,US,2020-03-07,0.0,0.0
16193,24147,Kansas,US,2020-03-08,0.0,0.0
16194,24148,Kansas,US,2020-03-09,0.0,0.0
16195,24149,Kansas,US,2020-03-10,1.0,0.0
16196,24150,Kansas,US,2020-03-11,1.0,0.0
16197,24151,Kansas,US,2020-03-12,1.0,0.0
16198,24152,Kansas,US,2020-03-13,5.0,1.0
16199,24153,Kansas,US,2020-03-14,8.0,1.0
16200,24154,Kansas,US,2020-03-15,8.0,1.0
16201,24155,Kansas,US,2020-03-16,11.0,1.0
16202,24156,Kansas,US,2020-03-17,18.0,1.0
16203,24157,Kansas,US,2020-03-18,18.0,1.0
16204,24158,Kansas,US,2020-03-19,34.0,1.0
16205,24159,Kansas,US,2020-03-20,44.0,1.0
16206,24160,Kansas,US,2020-03-21,57.0,2.0
16207,24161,Kansas,US,2020-03-22,65.0,2.0
16208,24162,Kansas,US,2020-03-23,84.0,2.0
16209,24163,Kansas,US,2020-03-24,100.0,2.0
16210,24164,Kansas,US,2020-03-25,134.0,3.0
16211,24165,Kansas,US,2020-03-26,172.0,3.0
16212,24166,Kansas,US,2020-03-27,206.0,4.0
16213,24167,Kansas,US,2020-03-28,266.0,4.0
