,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16281,24301,Louisiana,US,2020-01-22,0.0,0.0
16282,24302,Louisiana,US,2020-01-23,0.0,0.0
16283,24303,Louisiana,US,2020-01-24,0.0,0.0
16284,24304,Louisiana,US,2020-01-25,0.0,0.0
16285,24305,Louisiana,US,2020-01-26,0.0,0.0
16286,24306,Louisiana,US,2020-01-27,0.0,0.0
16287,24307,Louisiana,US,2020-01-28,0.0,0.0
16288,24308,Louisiana,US,2020-01-29,0.0,0.0
16289,24309,Louisiana,US,2020-01-30,0.0,0.0
16290,24310,Louisiana,US,2020-01-31,0.0,0.0
16291,24311,Louisiana,US,2020-02-01,0.0,0.0
16292,24312,Louisiana,US,2020-02-02,0.0,0.0
16293,24313,Louisiana,US,2020-02-03,0.0,0.0
16294,24314,Louisiana,US,2020-02-04,0.0,0.0
16295,24315,Louisiana,US,2020-02-05,0.0,0.0
16296,24316,Louisiana,US,2020-02-06,0.0,0.0
16297,24317,Louisiana,US,2020-02-07,0.0,0.0
16298,24318,Louisiana,US,2020-02-08,0.0,0.0
16299,24319,Louisiana,US,2020-02-09,0.0,0.0
16300,24320,Louisiana,US,2020-02-10,0.0,0.0
16301,24321,Louisiana,US,2020-02-11,0.0,0.0
16302,24322,Louisiana,US,2020-02-12,0.0,0.0
16303,24323,Louisiana,US,2020-02-13,0.0,0.0
16304,24324,Louisiana,US,2020-02-14,0.0,0.0
16305,24325,Louisiana,US,2020-02-15,0.0,0.0
16306,24326,Louisiana,US,2020-02-16,0.0,0.0
16307,24327,Louisiana,US,2020-02-17,0.0,0.0
16308,24328,Louisiana,US,2020-02-18,0.0,0.0
16309,24329,Louisiana,US,2020-02-19,0.0,0.0
16310,24330,Louisiana,US,2020-02-20,0.0,0.0
16311,24331,Louisiana,US,2020-02-21,0.0,0.0
16312,24332,Louisiana,US,2020-02-22,0.0,0.0
16313,24333,Louisiana,US,2020-02-23,0.0,0.0
16314,24334,Louisiana,US,2020-02-24,0.0,0.0
16315,24335,Louisiana,US,2020-02-25,0.0,0.0
16316,24336,Louisiana,US,2020-02-26,0.0,0.0
16317,24337,Louisiana,US,2020-02-27,0.0,0.0
16318,24338,Louisiana,US,2020-02-28,0.0,0.0
16319,24339,Louisiana,US,2020-02-29,0.0,0.0
16320,24340,Louisiana,US,2020-03-01,0.0,0.0
16321,24341,Louisiana,US,2020-03-02,0.0,0.0
16322,24342,Louisiana,US,2020-03-03,0.0,0.0
16323,24343,Louisiana,US,2020-03-04,0.0,0.0
16324,24344,Louisiana,US,2020-03-05,0.0,0.0
16325,24345,Louisiana,US,2020-03-06,0.0,0.0
16326,24346,Louisiana,US,2020-03-07,0.0,0.0
16327,24347,Louisiana,US,2020-03-08,0.0,0.0
16328,24348,Louisiana,US,2020-03-09,0.0,0.0
16329,24349,Louisiana,US,2020-03-10,1.0,0.0
16330,24350,Louisiana,US,2020-03-11,6.0,0.0
16331,24351,Louisiana,US,2020-03-12,19.0,0.0
16332,24352,Louisiana,US,2020-03-13,36.0,0.0
16333,24353,Louisiana,US,2020-03-14,77.0,1.0
16334,24354,Louisiana,US,2020-03-15,91.0,2.0
16335,24355,Louisiana,US,2020-03-16,136.0,3.0
16336,24356,Louisiana,US,2020-03-17,196.0,4.0
16337,24357,Louisiana,US,2020-03-18,257.0,4.0
16338,24358,Louisiana,US,2020-03-19,392.0,10.0
16339,24359,Louisiana,US,2020-03-20,538.0,14.0
16340,24360,Louisiana,US,2020-03-21,585.0,16.0
16341,24361,Louisiana,US,2020-03-22,837.0,20.0
16342,24362,Louisiana,US,2020-03-23,1172.0,35.0
16343,24363,Louisiana,US,2020-03-24,1388.0,46.0
16344,24364,Louisiana,US,2020-03-25,1795.0,65.0
16345,24365,Louisiana,US,2020-03-26,2304.0,83.0
16346,24366,Louisiana,US,2020-03-27,2744.0,119.0
16347,24367,Louisiana,US,2020-03-28,3315.0,137.0
