,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16348,24401,Maine,US,2020-01-22,0.0,0.0
16349,24402,Maine,US,2020-01-23,0.0,0.0
16350,24403,Maine,US,2020-01-24,0.0,0.0
16351,24404,Maine,US,2020-01-25,0.0,0.0
16352,24405,Maine,US,2020-01-26,0.0,0.0
16353,24406,Maine,US,2020-01-27,0.0,0.0
16354,24407,Maine,US,2020-01-28,0.0,0.0
16355,24408,Maine,US,2020-01-29,0.0,0.0
16356,24409,Maine,US,2020-01-30,0.0,0.0
16357,24410,Maine,US,2020-01-31,0.0,0.0
16358,24411,Maine,US,2020-02-01,0.0,0.0
16359,24412,Maine,US,2020-02-02,0.0,0.0
16360,24413,Maine,US,2020-02-03,0.0,0.0
16361,24414,Maine,US,2020-02-04,0.0,0.0
16362,24415,Maine,US,2020-02-05,0.0,0.0
16363,24416,Maine,US,2020-02-06,0.0,0.0
16364,24417,Maine,US,2020-02-07,0.0,0.0
16365,24418,Maine,US,2020-02-08,0.0,0.0
16366,24419,Maine,US,2020-02-09,0.0,0.0
16367,24420,Maine,US,2020-02-10,0.0,0.0
16368,24421,Maine,US,2020-02-11,0.0,0.0
16369,24422,Maine,US,2020-02-12,0.0,0.0
16370,24423,Maine,US,2020-02-13,0.0,0.0
16371,24424,Maine,US,2020-02-14,0.0,0.0
16372,24425,Maine,US,2020-02-15,0.0,0.0
16373,24426,Maine,US,2020-02-16,0.0,0.0
16374,24427,Maine,US,2020-02-17,0.0,0.0
16375,24428,Maine,US,2020-02-18,0.0,0.0
16376,24429,Maine,US,2020-02-19,0.0,0.0
16377,24430,Maine,US,2020-02-20,0.0,0.0
16378,24431,Maine,US,2020-02-21,0.0,0.0
16379,24432,Maine,US,2020-02-22,0.0,0.0
16380,24433,Maine,US,2020-02-23,0.0,0.0
16381,24434,Maine,US,2020-02-24,0.0,0.0
16382,24435,Maine,US,2020-02-25,0.0,0.0
16383,24436,Maine,US,2020-02-26,0.0,0.0
16384,24437,Maine,US,2020-02-27,0.0,0.0
16385,24438,Maine,US,2020-02-28,0.0,0.0
16386,24439,Maine,US,2020-02-29,0.0,0.0
16387,24440,Maine,US,2020-03-01,0.0,0.0
16388,24441,Maine,US,2020-03-02,0.0,0.0
16389,24442,Maine,US,2020-03-03,0.0,0.0
16390,24443,Maine,US,2020-03-04,0.0,0.0
16391,24444,Maine,US,2020-03-05,0.0,0.0
16392,24445,Maine,US,2020-03-06,0.0,0.0
16393,24446,Maine,US,2020-03-07,0.0,0.0
16394,24447,Maine,US,2020-03-08,0.0,0.0
16395,24448,Maine,US,2020-03-09,0.0,0.0
16396,24449,Maine,US,2020-03-10,0.0,0.0
16397,24450,Maine,US,2020-03-11,0.0,0.0
16398,24451,Maine,US,2020-03-12,0.0,0.0
16399,24452,Maine,US,2020-03-13,1.0,0.0
16400,24453,Maine,US,2020-03-14,3.0,0.0
16401,24454,Maine,US,2020-03-15,12.0,0.0
16402,24455,Maine,US,2020-03-16,17.0,0.0
16403,24456,Maine,US,2020-03-17,32.0,0.0
16404,24457,Maine,US,2020-03-18,42.0,0.0
16405,24458,Maine,US,2020-03-19,52.0,0.0
16406,24459,Maine,US,2020-03-20,56.0,0.0
16407,24460,Maine,US,2020-03-21,70.0,0.0
16408,24461,Maine,US,2020-03-22,89.0,0.0
16409,24462,Maine,US,2020-03-23,107.0,0.0
16410,24463,Maine,US,2020-03-24,118.0,0.0
16411,24464,Maine,US,2020-03-25,142.0,0.0
16412,24465,Maine,US,2020-03-26,155.0,0.0
16413,24466,Maine,US,2020-03-27,168.0,1.0
16414,24467,Maine,US,2020-03-28,211.0,1.0
