,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16750,25001,Missouri,US,2020-01-22,0.0,0.0
16751,25002,Missouri,US,2020-01-23,0.0,0.0
16752,25003,Missouri,US,2020-01-24,0.0,0.0
16753,25004,Missouri,US,2020-01-25,0.0,0.0
16754,25005,Missouri,US,2020-01-26,0.0,0.0
16755,25006,Missouri,US,2020-01-27,0.0,0.0
16756,25007,Missouri,US,2020-01-28,0.0,0.0
16757,25008,Missouri,US,2020-01-29,0.0,0.0
16758,25009,Missouri,US,2020-01-30,0.0,0.0
16759,25010,Missouri,US,2020-01-31,0.0,0.0
16760,25011,Missouri,US,2020-02-01,0.0,0.0
16761,25012,Missouri,US,2020-02-02,0.0,0.0
16762,25013,Missouri,US,2020-02-03,0.0,0.0
16763,25014,Missouri,US,2020-02-04,0.0,0.0
16764,25015,Missouri,US,2020-02-05,0.0,0.0
16765,25016,Missouri,US,2020-02-06,0.0,0.0
16766,25017,Missouri,US,2020-02-07,0.0,0.0
16767,25018,Missouri,US,2020-02-08,0.0,0.0
16768,25019,Missouri,US,2020-02-09,0.0,0.0
16769,25020,Missouri,US,2020-02-10,0.0,0.0
16770,25021,Missouri,US,2020-02-11,0.0,0.0
16771,25022,Missouri,US,2020-02-12,0.0,0.0
16772,25023,Missouri,US,2020-02-13,0.0,0.0
16773,25024,Missouri,US,2020-02-14,0.0,0.0
16774,25025,Missouri,US,2020-02-15,0.0,0.0
16775,25026,Missouri,US,2020-02-16,0.0,0.0
16776,25027,Missouri,US,2020-02-17,0.0,0.0
16777,25028,Missouri,US,2020-02-18,0.0,0.0
16778,25029,Missouri,US,2020-02-19,0.0,0.0
16779,25030,Missouri,US,2020-02-20,0.0,0.0
16780,25031,Missouri,US,2020-02-21,0.0,0.0
16781,25032,Missouri,US,2020-02-22,0.0,0.0
16782,25033,Missouri,US,2020-02-23,0.0,0.0
16783,25034,Missouri,US,2020-02-24,0.0,0.0
16784,25035,Missouri,US,2020-02-25,0.0,0.0
16785,25036,Missouri,US,2020-02-26,0.0,0.0
16786,25037,Missouri,US,2020-02-27,0.0,0.0
16787,25038,Missouri,US,2020-02-28,0.0,0.0
16788,25039,Missouri,US,2020-02-29,0.0,0.0
16789,25040,Missouri,US,2020-03-01,0.0,0.0
16790,25041,Missouri,US,2020-03-02,0.0,0.0
16791,25042,Missouri,US,2020-03-03,0.0,0.0
16792,25043,Missouri,US,2020-03-04,0.0,0.0
16793,25044,Missouri,US,2020-03-05,0.0,0.0
16794,25045,Missouri,US,2020-03-06,0.0,0.0
16795,25046,Missouri,US,2020-03-07,0.0,0.0
16796,25047,Missouri,US,2020-03-08,0.0,0.0
16797,25048,Missouri,US,2020-03-09,0.0,0.0
16798,25049,Missouri,US,2020-03-10,1.0,0.0
16799,25050,Missouri,US,2020-03-11,1.0,0.0
16800,25051,Missouri,US,2020-03-12,1.0,0.0
16801,25052,Missouri,US,2020-03-13,2.0,0.0
16802,25053,Missouri,US,2020-03-14,4.0,0.0
16803,25054,Missouri,US,2020-03-15,5.0,0.0
16804,25055,Missouri,US,2020-03-16,6.0,0.0
16805,25056,Missouri,US,2020-03-17,11.0,0.0
16806,25057,Missouri,US,2020-03-18,18.0,0.0
16807,25058,Missouri,US,2020-03-19,31.0,1.0
16808,25059,Missouri,US,2020-03-20,53.0,2.0
16809,25060,Missouri,US,2020-03-21,74.0,3.0
16810,25061,Missouri,US,2020-03-22,87.0,3.0
16811,25062,Missouri,US,2020-03-23,187.0,4.0
16812,25063,Missouri,US,2020-03-24,257.0,7.0
16813,25064,Missouri,US,2020-03-25,354.0,8.0
16814,25065,Missouri,US,2020-03-26,520.0,9.0
16815,25066,Missouri,US,2020-03-27,666.0,9.0
16816,25067,Missouri,US,2020-03-28,836.0,10.0
