,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16817,25101,Montana,US,2020-01-22,0.0,0.0
16818,25102,Montana,US,2020-01-23,0.0,0.0
16819,25103,Montana,US,2020-01-24,0.0,0.0
16820,25104,Montana,US,2020-01-25,0.0,0.0
16821,25105,Montana,US,2020-01-26,0.0,0.0
16822,25106,Montana,US,2020-01-27,0.0,0.0
16823,25107,Montana,US,2020-01-28,0.0,0.0
16824,25108,Montana,US,2020-01-29,0.0,0.0
16825,25109,Montana,US,2020-01-30,0.0,0.0
16826,25110,Montana,US,2020-01-31,0.0,0.0
16827,25111,Montana,US,2020-02-01,0.0,0.0
16828,25112,Montana,US,2020-02-02,0.0,0.0
16829,25113,Montana,US,2020-02-03,0.0,0.0
16830,25114,Montana,US,2020-02-04,0.0,0.0
16831,25115,Montana,US,2020-02-05,0.0,0.0
16832,25116,Montana,US,2020-02-06,0.0,0.0
16833,25117,Montana,US,2020-02-07,0.0,0.0
16834,25118,Montana,US,2020-02-08,0.0,0.0
16835,25119,Montana,US,2020-02-09,0.0,0.0
16836,25120,Montana,US,2020-02-10,0.0,0.0
16837,25121,Montana,US,2020-02-11,0.0,0.0
16838,25122,Montana,US,2020-02-12,0.0,0.0
16839,25123,Montana,US,2020-02-13,0.0,0.0
16840,25124,Montana,US,2020-02-14,0.0,0.0
16841,25125,Montana,US,2020-02-15,0.0,0.0
16842,25126,Montana,US,2020-02-16,0.0,0.0
16843,25127,Montana,US,2020-02-17,0.0,0.0
16844,25128,Montana,US,2020-02-18,0.0,0.0
16845,25129,Montana,US,2020-02-19,0.0,0.0
16846,25130,Montana,US,2020-02-20,0.0,0.0
16847,25131,Montana,US,2020-02-21,0.0,0.0
16848,25132,Montana,US,2020-02-22,0.0,0.0
16849,25133,Montana,US,2020-02-23,0.0,0.0
16850,25134,Montana,US,2020-02-24,0.0,0.0
16851,25135,Montana,US,2020-02-25,0.0,0.0
16852,25136,Montana,US,2020-02-26,0.0,0.0
16853,25137,Montana,US,2020-02-27,0.0,0.0
16854,25138,Montana,US,2020-02-28,0.0,0.0
16855,25139,Montana,US,2020-02-29,0.0,0.0
16856,25140,Montana,US,2020-03-01,0.0,0.0
16857,25141,Montana,US,2020-03-02,0.0,0.0
16858,25142,Montana,US,2020-03-03,0.0,0.0
16859,25143,Montana,US,2020-03-04,0.0,0.0
16860,25144,Montana,US,2020-03-05,0.0,0.0
16861,25145,Montana,US,2020-03-06,0.0,0.0
16862,25146,Montana,US,2020-03-07,0.0,0.0
16863,25147,Montana,US,2020-03-08,0.0,0.0
16864,25148,Montana,US,2020-03-09,0.0,0.0
16865,25149,Montana,US,2020-03-10,0.0,0.0
16866,25150,Montana,US,2020-03-11,1.0,0.0
16867,25151,Montana,US,2020-03-12,1.0,0.0
16868,25152,Montana,US,2020-03-13,1.0,0.0
16869,25153,Montana,US,2020-03-14,5.0,0.0
16870,25154,Montana,US,2020-03-15,7.0,0.0
16871,25155,Montana,US,2020-03-16,7.0,0.0
16872,25156,Montana,US,2020-03-17,9.0,0.0
16873,25157,Montana,US,2020-03-18,11.0,0.0
16874,25158,Montana,US,2020-03-19,11.0,0.0
16875,25159,Montana,US,2020-03-20,15.0,0.0
16876,25160,Montana,US,2020-03-21,21.0,0.0
16877,25161,Montana,US,2020-03-22,34.0,0.0
16878,25162,Montana,US,2020-03-23,34.0,0.0
16879,25163,Montana,US,2020-03-24,51.0,0.0
16880,25164,Montana,US,2020-03-25,65.0,0.0
16881,25165,Montana,US,2020-03-26,90.0,0.0
16882,25166,Montana,US,2020-03-27,109.0,1.0
16883,25167,Montana,US,2020-03-28,129.0,1.0
