,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17085,25501,New Jersey,US,2020-01-22,0.0,0.0
17086,25502,New Jersey,US,2020-01-23,0.0,0.0
17087,25503,New Jersey,US,2020-01-24,0.0,0.0
17088,25504,New Jersey,US,2020-01-25,0.0,0.0
17089,25505,New Jersey,US,2020-01-26,0.0,0.0
17090,25506,New Jersey,US,2020-01-27,0.0,0.0
17091,25507,New Jersey,US,2020-01-28,0.0,0.0
17092,25508,New Jersey,US,2020-01-29,0.0,0.0
17093,25509,New Jersey,US,2020-01-30,0.0,0.0
17094,25510,New Jersey,US,2020-01-31,0.0,0.0
17095,25511,New Jersey,US,2020-02-01,0.0,0.0
17096,25512,New Jersey,US,2020-02-02,0.0,0.0
17097,25513,New Jersey,US,2020-02-03,0.0,0.0
17098,25514,New Jersey,US,2020-02-04,0.0,0.0
17099,25515,New Jersey,US,2020-02-05,0.0,0.0
17100,25516,New Jersey,US,2020-02-06,0.0,0.0
17101,25517,New Jersey,US,2020-02-07,0.0,0.0
17102,25518,New Jersey,US,2020-02-08,0.0,0.0
17103,25519,New Jersey,US,2020-02-09,0.0,0.0
17104,25520,New Jersey,US,2020-02-10,0.0,0.0
17105,25521,New Jersey,US,2020-02-11,0.0,0.0
17106,25522,New Jersey,US,2020-02-12,0.0,0.0
17107,25523,New Jersey,US,2020-02-13,0.0,0.0
17108,25524,New Jersey,US,2020-02-14,0.0,0.0
17109,25525,New Jersey,US,2020-02-15,0.0,0.0
17110,25526,New Jersey,US,2020-02-16,0.0,0.0
17111,25527,New Jersey,US,2020-02-17,0.0,0.0
17112,25528,New Jersey,US,2020-02-18,0.0,0.0
17113,25529,New Jersey,US,2020-02-19,0.0,0.0
17114,25530,New Jersey,US,2020-02-20,0.0,0.0
17115,25531,New Jersey,US,2020-02-21,0.0,0.0
17116,25532,New Jersey,US,2020-02-22,0.0,0.0
17117,25533,New Jersey,US,2020-02-23,0.0,0.0
17118,25534,New Jersey,US,2020-02-24,0.0,0.0
17119,25535,New Jersey,US,2020-02-25,0.0,0.0
17120,25536,New Jersey,US,2020-02-26,0.0,0.0
17121,25537,New Jersey,US,2020-02-27,0.0,0.0
17122,25538,New Jersey,US,2020-02-28,0.0,0.0
17123,25539,New Jersey,US,2020-02-29,0.0,0.0
17124,25540,New Jersey,US,2020-03-01,0.0,0.0
17125,25541,New Jersey,US,2020-03-02,0.0,0.0
17126,25542,New Jersey,US,2020-03-03,0.0,0.0
17127,25543,New Jersey,US,2020-03-04,0.0,0.0
17128,25544,New Jersey,US,2020-03-05,0.0,0.0
17129,25545,New Jersey,US,2020-03-06,0.0,0.0
17130,25546,New Jersey,US,2020-03-07,0.0,0.0
17131,25547,New Jersey,US,2020-03-08,0.0,0.0
17132,25548,New Jersey,US,2020-03-09,0.0,0.0
17133,25549,New Jersey,US,2020-03-10,15.0,1.0
17134,25550,New Jersey,US,2020-03-11,23.0,1.0
17135,25551,New Jersey,US,2020-03-12,29.0,1.0
17136,25552,New Jersey,US,2020-03-13,29.0,1.0
17137,25553,New Jersey,US,2020-03-14,69.0,1.0
17138,25554,New Jersey,US,2020-03-15,98.0,2.0
17139,25555,New Jersey,US,2020-03-16,178.0,2.0
17140,25556,New Jersey,US,2020-03-17,267.0,3.0
17141,25557,New Jersey,US,2020-03-18,267.0,3.0
17142,25558,New Jersey,US,2020-03-19,742.0,9.0
17143,25559,New Jersey,US,2020-03-20,890.0,11.0
17144,25560,New Jersey,US,2020-03-21,1327.0,16.0
17145,25561,New Jersey,US,2020-03-22,1914.0,20.0
17146,25562,New Jersey,US,2020-03-23,2844.0,27.0
17147,25563,New Jersey,US,2020-03-24,3675.0,44.0
17148,25564,New Jersey,US,2020-03-25,4402.0,62.0
17149,25565,New Jersey,US,2020-03-26,6876.0,81.0
17150,25566,New Jersey,US,2020-03-27,8825.0,108.0
17151,25567,New Jersey,US,2020-03-28,11124.0,140.0
