,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17219,25701,New York,US,2020-01-22,0.0,0.0
17220,25702,New York,US,2020-01-23,0.0,0.0
17221,25703,New York,US,2020-01-24,0.0,0.0
17222,25704,New York,US,2020-01-25,0.0,0.0
17223,25705,New York,US,2020-01-26,0.0,0.0
17224,25706,New York,US,2020-01-27,0.0,0.0
17225,25707,New York,US,2020-01-28,0.0,0.0
17226,25708,New York,US,2020-01-29,0.0,0.0
17227,25709,New York,US,2020-01-30,0.0,0.0
17228,25710,New York,US,2020-01-31,0.0,0.0
17229,25711,New York,US,2020-02-01,0.0,0.0
17230,25712,New York,US,2020-02-02,0.0,0.0
17231,25713,New York,US,2020-02-03,0.0,0.0
17232,25714,New York,US,2020-02-04,0.0,0.0
17233,25715,New York,US,2020-02-05,0.0,0.0
17234,25716,New York,US,2020-02-06,0.0,0.0
17235,25717,New York,US,2020-02-07,0.0,0.0
17236,25718,New York,US,2020-02-08,0.0,0.0
17237,25719,New York,US,2020-02-09,0.0,0.0
17238,25720,New York,US,2020-02-10,0.0,0.0
17239,25721,New York,US,2020-02-11,0.0,0.0
17240,25722,New York,US,2020-02-12,0.0,0.0
17241,25723,New York,US,2020-02-13,0.0,0.0
17242,25724,New York,US,2020-02-14,0.0,0.0
17243,25725,New York,US,2020-02-15,0.0,0.0
17244,25726,New York,US,2020-02-16,0.0,0.0
17245,25727,New York,US,2020-02-17,0.0,0.0
17246,25728,New York,US,2020-02-18,0.0,0.0
17247,25729,New York,US,2020-02-19,0.0,0.0
17248,25730,New York,US,2020-02-20,0.0,0.0
17249,25731,New York,US,2020-02-21,0.0,0.0
17250,25732,New York,US,2020-02-22,0.0,0.0
17251,25733,New York,US,2020-02-23,0.0,0.0
17252,25734,New York,US,2020-02-24,0.0,0.0
17253,25735,New York,US,2020-02-25,0.0,0.0
17254,25736,New York,US,2020-02-26,0.0,0.0
17255,25737,New York,US,2020-02-27,0.0,0.0
17256,25738,New York,US,2020-02-28,0.0,0.0
17257,25739,New York,US,2020-02-29,0.0,0.0
17258,25740,New York,US,2020-03-01,0.0,0.0
17259,25741,New York,US,2020-03-02,0.0,0.0
17260,25742,New York,US,2020-03-03,0.0,0.0
17261,25743,New York,US,2020-03-04,0.0,0.0
17262,25744,New York,US,2020-03-05,0.0,0.0
17263,25745,New York,US,2020-03-06,0.0,0.0
17264,25746,New York,US,2020-03-07,0.0,0.0
17265,25747,New York,US,2020-03-08,0.0,0.0
17266,25748,New York,US,2020-03-09,0.0,0.0
17267,25749,New York,US,2020-03-10,173.0,0.0
17268,25750,New York,US,2020-03-11,220.0,0.0
17269,25751,New York,US,2020-03-12,328.0,0.0
17270,25752,New York,US,2020-03-13,421.0,0.0
17271,25753,New York,US,2020-03-14,525.0,2.0
17272,25754,New York,US,2020-03-15,732.0,3.0
17273,25755,New York,US,2020-03-16,967.0,10.0
17274,25756,New York,US,2020-03-17,1706.0,13.0
17275,25757,New York,US,2020-03-18,2495.0,16.0
17276,25758,New York,US,2020-03-19,5365.0,34.0
17277,25759,New York,US,2020-03-20,8310.0,42.0
17278,25760,New York,US,2020-03-21,11710.0,60.0
17279,25761,New York,US,2020-03-22,15800.0,117.0
17280,25762,New York,US,2020-03-23,20884.0,158.0
17281,25763,New York,US,2020-03-24,25681.0,210.0
17282,25764,New York,US,2020-03-25,30841.0,285.0
17283,25765,New York,US,2020-03-26,37877.0,385.0
17284,25766,New York,US,2020-03-27,44876.0,527.0
17285,25767,New York,US,2020-03-28,52410.0,728.0
