,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17353,25901,North Dakota,US,2020-01-22,0.0,0.0
17354,25902,North Dakota,US,2020-01-23,0.0,0.0
17355,25903,North Dakota,US,2020-01-24,0.0,0.0
17356,25904,North Dakota,US,2020-01-25,0.0,0.0
17357,25905,North Dakota,US,2020-01-26,0.0,0.0
17358,25906,North Dakota,US,2020-01-27,0.0,0.0
17359,25907,North Dakota,US,2020-01-28,0.0,0.0
17360,25908,North Dakota,US,2020-01-29,0.0,0.0
17361,25909,North Dakota,US,2020-01-30,0.0,0.0
17362,25910,North Dakota,US,2020-01-31,0.0,0.0
17363,25911,North Dakota,US,2020-02-01,0.0,0.0
17364,25912,North Dakota,US,2020-02-02,0.0,0.0
17365,25913,North Dakota,US,2020-02-03,0.0,0.0
17366,25914,North Dakota,US,2020-02-04,0.0,0.0
17367,25915,North Dakota,US,2020-02-05,0.0,0.0
17368,25916,North Dakota,US,2020-02-06,0.0,0.0
17369,25917,North Dakota,US,2020-02-07,0.0,0.0
17370,25918,North Dakota,US,2020-02-08,0.0,0.0
17371,25919,North Dakota,US,2020-02-09,0.0,0.0
17372,25920,North Dakota,US,2020-02-10,0.0,0.0
17373,25921,North Dakota,US,2020-02-11,0.0,0.0
17374,25922,North Dakota,US,2020-02-12,0.0,0.0
17375,25923,North Dakota,US,2020-02-13,0.0,0.0
17376,25924,North Dakota,US,2020-02-14,0.0,0.0
17377,25925,North Dakota,US,2020-02-15,0.0,0.0
17378,25926,North Dakota,US,2020-02-16,0.0,0.0
17379,25927,North Dakota,US,2020-02-17,0.0,0.0
17380,25928,North Dakota,US,2020-02-18,0.0,0.0
17381,25929,North Dakota,US,2020-02-19,0.0,0.0
17382,25930,North Dakota,US,2020-02-20,0.0,0.0
17383,25931,North Dakota,US,2020-02-21,0.0,0.0
17384,25932,North Dakota,US,2020-02-22,0.0,0.0
17385,25933,North Dakota,US,2020-02-23,0.0,0.0
17386,25934,North Dakota,US,2020-02-24,0.0,0.0
17387,25935,North Dakota,US,2020-02-25,0.0,0.0
17388,25936,North Dakota,US,2020-02-26,0.0,0.0
17389,25937,North Dakota,US,2020-02-27,0.0,0.0
17390,25938,North Dakota,US,2020-02-28,0.0,0.0
17391,25939,North Dakota,US,2020-02-29,0.0,0.0
17392,25940,North Dakota,US,2020-03-01,0.0,0.0
17393,25941,North Dakota,US,2020-03-02,0.0,0.0
17394,25942,North Dakota,US,2020-03-03,0.0,0.0
17395,25943,North Dakota,US,2020-03-04,0.0,0.0
17396,25944,North Dakota,US,2020-03-05,0.0,0.0
17397,25945,North Dakota,US,2020-03-06,0.0,0.0
17398,25946,North Dakota,US,2020-03-07,0.0,0.0
17399,25947,North Dakota,US,2020-03-08,0.0,0.0
17400,25948,North Dakota,US,2020-03-09,0.0,0.0
17401,25949,North Dakota,US,2020-03-10,0.0,0.0
17402,25950,North Dakota,US,2020-03-11,0.0,0.0
17403,25951,North Dakota,US,2020-03-12,1.0,0.0
17404,25952,North Dakota,US,2020-03-13,1.0,0.0
17405,25953,North Dakota,US,2020-03-14,1.0,0.0
17406,25954,North Dakota,US,2020-03-15,1.0,0.0
17407,25955,North Dakota,US,2020-03-16,1.0,0.0
17408,25956,North Dakota,US,2020-03-17,3.0,0.0
17409,25957,North Dakota,US,2020-03-18,6.0,0.0
17410,25958,North Dakota,US,2020-03-19,18.0,0.0
17411,25959,North Dakota,US,2020-03-20,19.0,0.0
17412,25960,North Dakota,US,2020-03-21,28.0,0.0
17413,25961,North Dakota,US,2020-03-22,28.0,0.0
17414,25962,North Dakota,US,2020-03-23,30.0,0.0
17415,25963,North Dakota,US,2020-03-24,36.0,0.0
17416,25964,North Dakota,US,2020-03-25,45.0,0.0
17417,25965,North Dakota,US,2020-03-26,51.0,0.0
17418,25966,North Dakota,US,2020-03-27,68.0,1.0
17419,25967,North Dakota,US,2020-03-28,94.0,1.0
