,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17688,26401,Puerto Rico,US,2020-01-22,0.0,0.0
17689,26402,Puerto Rico,US,2020-01-23,0.0,0.0
17690,26403,Puerto Rico,US,2020-01-24,0.0,0.0
17691,26404,Puerto Rico,US,2020-01-25,0.0,0.0
17692,26405,Puerto Rico,US,2020-01-26,0.0,0.0
17693,26406,Puerto Rico,US,2020-01-27,0.0,0.0
17694,26407,Puerto Rico,US,2020-01-28,0.0,0.0
17695,26408,Puerto Rico,US,2020-01-29,0.0,0.0
17696,26409,Puerto Rico,US,2020-01-30,0.0,0.0
17697,26410,Puerto Rico,US,2020-01-31,0.0,0.0
17698,26411,Puerto Rico,US,2020-02-01,0.0,0.0
17699,26412,Puerto Rico,US,2020-02-02,0.0,0.0
17700,26413,Puerto Rico,US,2020-02-03,0.0,0.0
17701,26414,Puerto Rico,US,2020-02-04,0.0,0.0
17702,26415,Puerto Rico,US,2020-02-05,0.0,0.0
17703,26416,Puerto Rico,US,2020-02-06,0.0,0.0
17704,26417,Puerto Rico,US,2020-02-07,0.0,0.0
17705,26418,Puerto Rico,US,2020-02-08,0.0,0.0
17706,26419,Puerto Rico,US,2020-02-09,0.0,0.0
17707,26420,Puerto Rico,US,2020-02-10,0.0,0.0
17708,26421,Puerto Rico,US,2020-02-11,0.0,0.0
17709,26422,Puerto Rico,US,2020-02-12,0.0,0.0
17710,26423,Puerto Rico,US,2020-02-13,0.0,0.0
17711,26424,Puerto Rico,US,2020-02-14,0.0,0.0
17712,26425,Puerto Rico,US,2020-02-15,0.0,0.0
17713,26426,Puerto Rico,US,2020-02-16,0.0,0.0
17714,26427,Puerto Rico,US,2020-02-17,0.0,0.0
17715,26428,Puerto Rico,US,2020-02-18,0.0,0.0
17716,26429,Puerto Rico,US,2020-02-19,0.0,0.0
17717,26430,Puerto Rico,US,2020-02-20,0.0,0.0
17718,26431,Puerto Rico,US,2020-02-21,0.0,0.0
17719,26432,Puerto Rico,US,2020-02-22,0.0,0.0
17720,26433,Puerto Rico,US,2020-02-23,0.0,0.0
17721,26434,Puerto Rico,US,2020-02-24,0.0,0.0
17722,26435,Puerto Rico,US,2020-02-25,0.0,0.0
17723,26436,Puerto Rico,US,2020-02-26,0.0,0.0
17724,26437,Puerto Rico,US,2020-02-27,0.0,0.0
17725,26438,Puerto Rico,US,2020-02-28,0.0,0.0
17726,26439,Puerto Rico,US,2020-02-29,0.0,0.0
17727,26440,Puerto Rico,US,2020-03-01,0.0,0.0
17728,26441,Puerto Rico,US,2020-03-02,0.0,0.0
17729,26442,Puerto Rico,US,2020-03-03,0.0,0.0
17730,26443,Puerto Rico,US,2020-03-04,0.0,0.0
17731,26444,Puerto Rico,US,2020-03-05,0.0,0.0
17732,26445,Puerto Rico,US,2020-03-06,0.0,0.0
17733,26446,Puerto Rico,US,2020-03-07,0.0,0.0
17734,26447,Puerto Rico,US,2020-03-08,0.0,0.0
17735,26448,Puerto Rico,US,2020-03-09,0.0,0.0
17736,26449,Puerto Rico,US,2020-03-10,0.0,0.0
17737,26450,Puerto Rico,US,2020-03-11,0.0,0.0
17738,26451,Puerto Rico,US,2020-03-12,0.0,0.0
17739,26452,Puerto Rico,US,2020-03-13,0.0,0.0
17740,26453,Puerto Rico,US,2020-03-14,3.0,0.0
17741,26454,Puerto Rico,US,2020-03-15,5.0,0.0
17742,26455,Puerto Rico,US,2020-03-16,5.0,0.0
17743,26456,Puerto Rico,US,2020-03-17,5.0,0.0
17744,26457,Puerto Rico,US,2020-03-18,5.0,0.0
17745,26458,Puerto Rico,US,2020-03-19,5.0,0.0
17746,26459,Puerto Rico,US,2020-03-20,14.0,0.0
17747,26460,Puerto Rico,US,2020-03-21,21.0,1.0
17748,26461,Puerto Rico,US,2020-03-22,23.0,1.0
17749,26462,Puerto Rico,US,2020-03-23,31.0,2.0
17750,26463,Puerto Rico,US,2020-03-24,39.0,2.0
17751,26464,Puerto Rico,US,2020-03-25,51.0,2.0
17752,26465,Puerto Rico,US,2020-03-26,64.0,2.0
17753,26466,Puerto Rico,US,2020-03-27,79.0,3.0
17754,26467,Puerto Rico,US,2020-03-28,100.0,3.0
