,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17822,26601,South Carolina,US,2020-01-22,0.0,0.0
17823,26602,South Carolina,US,2020-01-23,0.0,0.0
17824,26603,South Carolina,US,2020-01-24,0.0,0.0
17825,26604,South Carolina,US,2020-01-25,0.0,0.0
17826,26605,South Carolina,US,2020-01-26,0.0,0.0
17827,26606,South Carolina,US,2020-01-27,0.0,0.0
17828,26607,South Carolina,US,2020-01-28,0.0,0.0
17829,26608,South Carolina,US,2020-01-29,0.0,0.0
17830,26609,South Carolina,US,2020-01-30,0.0,0.0
17831,26610,South Carolina,US,2020-01-31,0.0,0.0
17832,26611,South Carolina,US,2020-02-01,0.0,0.0
17833,26612,South Carolina,US,2020-02-02,0.0,0.0
17834,26613,South Carolina,US,2020-02-03,0.0,0.0
17835,26614,South Carolina,US,2020-02-04,0.0,0.0
17836,26615,South Carolina,US,2020-02-05,0.0,0.0
17837,26616,South Carolina,US,2020-02-06,0.0,0.0
17838,26617,South Carolina,US,2020-02-07,0.0,0.0
17839,26618,South Carolina,US,2020-02-08,0.0,0.0
17840,26619,South Carolina,US,2020-02-09,0.0,0.0
17841,26620,South Carolina,US,2020-02-10,0.0,0.0
17842,26621,South Carolina,US,2020-02-11,0.0,0.0
17843,26622,South Carolina,US,2020-02-12,0.0,0.0
17844,26623,South Carolina,US,2020-02-13,0.0,0.0
17845,26624,South Carolina,US,2020-02-14,0.0,0.0
17846,26625,South Carolina,US,2020-02-15,0.0,0.0
17847,26626,South Carolina,US,2020-02-16,0.0,0.0
17848,26627,South Carolina,US,2020-02-17,0.0,0.0
17849,26628,South Carolina,US,2020-02-18,0.0,0.0
17850,26629,South Carolina,US,2020-02-19,0.0,0.0
17851,26630,South Carolina,US,2020-02-20,0.0,0.0
17852,26631,South Carolina,US,2020-02-21,0.0,0.0
17853,26632,South Carolina,US,2020-02-22,0.0,0.0
17854,26633,South Carolina,US,2020-02-23,0.0,0.0
17855,26634,South Carolina,US,2020-02-24,0.0,0.0
17856,26635,South Carolina,US,2020-02-25,0.0,0.0
17857,26636,South Carolina,US,2020-02-26,0.0,0.0
17858,26637,South Carolina,US,2020-02-27,0.0,0.0
17859,26638,South Carolina,US,2020-02-28,0.0,0.0
17860,26639,South Carolina,US,2020-02-29,0.0,0.0
17861,26640,South Carolina,US,2020-03-01,0.0,0.0
17862,26641,South Carolina,US,2020-03-02,0.0,0.0
17863,26642,South Carolina,US,2020-03-03,0.0,0.0
17864,26643,South Carolina,US,2020-03-04,0.0,0.0
17865,26644,South Carolina,US,2020-03-05,0.0,0.0
17866,26645,South Carolina,US,2020-03-06,0.0,0.0
17867,26646,South Carolina,US,2020-03-07,0.0,0.0
17868,26647,South Carolina,US,2020-03-08,0.0,0.0
17869,26648,South Carolina,US,2020-03-09,0.0,0.0
17870,26649,South Carolina,US,2020-03-10,7.0,0.0
17871,26650,South Carolina,US,2020-03-11,10.0,0.0
17872,26651,South Carolina,US,2020-03-12,12.0,0.0
17873,26652,South Carolina,US,2020-03-13,13.0,0.0
17874,26653,South Carolina,US,2020-03-14,19.0,0.0
17875,26654,South Carolina,US,2020-03-15,28.0,0.0
17876,26655,South Carolina,US,2020-03-16,33.0,1.0
17877,26656,South Carolina,US,2020-03-17,47.0,1.0
17878,26657,South Carolina,US,2020-03-18,47.0,1.0
17879,26658,South Carolina,US,2020-03-19,81.0,1.0
17880,26659,South Carolina,US,2020-03-20,126.0,1.0
17881,26660,South Carolina,US,2020-03-21,171.0,3.0
17882,26661,South Carolina,US,2020-03-22,196.0,3.0
17883,26662,South Carolina,US,2020-03-23,298.0,5.0
17884,26663,South Carolina,US,2020-03-24,342.0,5.0
17885,26664,South Carolina,US,2020-03-25,424.0,7.0
17886,26665,South Carolina,US,2020-03-26,424.0,9.0
17887,26666,South Carolina,US,2020-03-27,542.0,13.0
17888,26667,South Carolina,US,2020-03-28,660.0,15.0
