,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17889,26701,South Dakota,US,2020-01-22,0.0,0.0
17890,26702,South Dakota,US,2020-01-23,0.0,0.0
17891,26703,South Dakota,US,2020-01-24,0.0,0.0
17892,26704,South Dakota,US,2020-01-25,0.0,0.0
17893,26705,South Dakota,US,2020-01-26,0.0,0.0
17894,26706,South Dakota,US,2020-01-27,0.0,0.0
17895,26707,South Dakota,US,2020-01-28,0.0,0.0
17896,26708,South Dakota,US,2020-01-29,0.0,0.0
17897,26709,South Dakota,US,2020-01-30,0.0,0.0
17898,26710,South Dakota,US,2020-01-31,0.0,0.0
17899,26711,South Dakota,US,2020-02-01,0.0,0.0
17900,26712,South Dakota,US,2020-02-02,0.0,0.0
17901,26713,South Dakota,US,2020-02-03,0.0,0.0
17902,26714,South Dakota,US,2020-02-04,0.0,0.0
17903,26715,South Dakota,US,2020-02-05,0.0,0.0
17904,26716,South Dakota,US,2020-02-06,0.0,0.0
17905,26717,South Dakota,US,2020-02-07,0.0,0.0
17906,26718,South Dakota,US,2020-02-08,0.0,0.0
17907,26719,South Dakota,US,2020-02-09,0.0,0.0
17908,26720,South Dakota,US,2020-02-10,0.0,0.0
17909,26721,South Dakota,US,2020-02-11,0.0,0.0
17910,26722,South Dakota,US,2020-02-12,0.0,0.0
17911,26723,South Dakota,US,2020-02-13,0.0,0.0
17912,26724,South Dakota,US,2020-02-14,0.0,0.0
17913,26725,South Dakota,US,2020-02-15,0.0,0.0
17914,26726,South Dakota,US,2020-02-16,0.0,0.0
17915,26727,South Dakota,US,2020-02-17,0.0,0.0
17916,26728,South Dakota,US,2020-02-18,0.0,0.0
17917,26729,South Dakota,US,2020-02-19,0.0,0.0
17918,26730,South Dakota,US,2020-02-20,0.0,0.0
17919,26731,South Dakota,US,2020-02-21,0.0,0.0
17920,26732,South Dakota,US,2020-02-22,0.0,0.0
17921,26733,South Dakota,US,2020-02-23,0.0,0.0
17922,26734,South Dakota,US,2020-02-24,0.0,0.0
17923,26735,South Dakota,US,2020-02-25,0.0,0.0
17924,26736,South Dakota,US,2020-02-26,0.0,0.0
17925,26737,South Dakota,US,2020-02-27,0.0,0.0
17926,26738,South Dakota,US,2020-02-28,0.0,0.0
17927,26739,South Dakota,US,2020-02-29,0.0,0.0
17928,26740,South Dakota,US,2020-03-01,0.0,0.0
17929,26741,South Dakota,US,2020-03-02,0.0,0.0
17930,26742,South Dakota,US,2020-03-03,0.0,0.0
17931,26743,South Dakota,US,2020-03-04,0.0,0.0
17932,26744,South Dakota,US,2020-03-05,0.0,0.0
17933,26745,South Dakota,US,2020-03-06,0.0,0.0
17934,26746,South Dakota,US,2020-03-07,0.0,0.0
17935,26747,South Dakota,US,2020-03-08,0.0,0.0
17936,26748,South Dakota,US,2020-03-09,0.0,0.0
17937,26749,South Dakota,US,2020-03-10,0.0,0.0
17938,26750,South Dakota,US,2020-03-11,8.0,1.0
17939,26751,South Dakota,US,2020-03-12,8.0,1.0
17940,26752,South Dakota,US,2020-03-13,8.0,1.0
17941,26753,South Dakota,US,2020-03-14,9.0,1.0
17942,26754,South Dakota,US,2020-03-15,9.0,1.0
17943,26755,South Dakota,US,2020-03-16,10.0,1.0
17944,26756,South Dakota,US,2020-03-17,11.0,1.0
17945,26757,South Dakota,US,2020-03-18,11.0,1.0
17946,26758,South Dakota,US,2020-03-19,11.0,1.0
17947,26759,South Dakota,US,2020-03-20,14.0,1.0
17948,26760,South Dakota,US,2020-03-21,14.0,1.0
17949,26761,South Dakota,US,2020-03-22,21.0,1.0
17950,26762,South Dakota,US,2020-03-23,28.0,1.0
17951,26763,South Dakota,US,2020-03-24,30.0,1.0
17952,26764,South Dakota,US,2020-03-25,41.0,1.0
17953,26765,South Dakota,US,2020-03-26,46.0,1.0
17954,26766,South Dakota,US,2020-03-27,58.0,1.0
17955,26767,South Dakota,US,2020-03-28,68.0,1.0
