,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
18023,26901,Texas,US,2020-01-22,0.0,0.0
18024,26902,Texas,US,2020-01-23,0.0,0.0
18025,26903,Texas,US,2020-01-24,0.0,0.0
18026,26904,Texas,US,2020-01-25,0.0,0.0
18027,26905,Texas,US,2020-01-26,0.0,0.0
18028,26906,Texas,US,2020-01-27,0.0,0.0
18029,26907,Texas,US,2020-01-28,0.0,0.0
18030,26908,Texas,US,2020-01-29,0.0,0.0
18031,26909,Texas,US,2020-01-30,0.0,0.0
18032,26910,Texas,US,2020-01-31,0.0,0.0
18033,26911,Texas,US,2020-02-01,0.0,0.0
18034,26912,Texas,US,2020-02-02,0.0,0.0
18035,26913,Texas,US,2020-02-03,0.0,0.0
18036,26914,Texas,US,2020-02-04,0.0,0.0
18037,26915,Texas,US,2020-02-05,0.0,0.0
18038,26916,Texas,US,2020-02-06,0.0,0.0
18039,26917,Texas,US,2020-02-07,0.0,0.0
18040,26918,Texas,US,2020-02-08,0.0,0.0
18041,26919,Texas,US,2020-02-09,0.0,0.0
18042,26920,Texas,US,2020-02-10,0.0,0.0
18043,26921,Texas,US,2020-02-11,0.0,0.0
18044,26922,Texas,US,2020-02-12,0.0,0.0
18045,26923,Texas,US,2020-02-13,0.0,0.0
18046,26924,Texas,US,2020-02-14,0.0,0.0
18047,26925,Texas,US,2020-02-15,0.0,0.0
18048,26926,Texas,US,2020-02-16,0.0,0.0
18049,26927,Texas,US,2020-02-17,0.0,0.0
18050,26928,Texas,US,2020-02-18,0.0,0.0
18051,26929,Texas,US,2020-02-19,0.0,0.0
18052,26930,Texas,US,2020-02-20,0.0,0.0
18053,26931,Texas,US,2020-02-21,0.0,0.0
18054,26932,Texas,US,2020-02-22,0.0,0.0
18055,26933,Texas,US,2020-02-23,0.0,0.0
18056,26934,Texas,US,2020-02-24,0.0,0.0
18057,26935,Texas,US,2020-02-25,0.0,0.0
18058,26936,Texas,US,2020-02-26,0.0,0.0
18059,26937,Texas,US,2020-02-27,0.0,0.0
18060,26938,Texas,US,2020-02-28,0.0,0.0
18061,26939,Texas,US,2020-02-29,0.0,0.0
18062,26940,Texas,US,2020-03-01,0.0,0.0
18063,26941,Texas,US,2020-03-02,0.0,0.0
18064,26942,Texas,US,2020-03-03,0.0,0.0
18065,26943,Texas,US,2020-03-04,0.0,0.0
18066,26944,Texas,US,2020-03-05,0.0,0.0
18067,26945,Texas,US,2020-03-06,0.0,0.0
18068,26946,Texas,US,2020-03-07,0.0,0.0
18069,26947,Texas,US,2020-03-08,0.0,0.0
18070,26948,Texas,US,2020-03-09,0.0,0.0
18071,26949,Texas,US,2020-03-10,13.0,0.0
18072,26950,Texas,US,2020-03-11,21.0,0.0
18073,26951,Texas,US,2020-03-12,27.0,0.0
18074,26952,Texas,US,2020-03-13,43.0,0.0
18075,26953,Texas,US,2020-03-14,57.0,0.0
18076,26954,Texas,US,2020-03-15,72.0,0.0
18077,26955,Texas,US,2020-03-16,85.0,0.0
18078,26956,Texas,US,2020-03-17,110.0,1.0
18079,26957,Texas,US,2020-03-18,173.0,3.0
18080,26958,Texas,US,2020-03-19,260.0,5.0
18081,26959,Texas,US,2020-03-20,394.0,5.0
18082,26960,Texas,US,2020-03-21,581.0,5.0
18083,26961,Texas,US,2020-03-22,643.0,7.0
18084,26962,Texas,US,2020-03-23,758.0,9.0
18085,26963,Texas,US,2020-03-24,955.0,12.0
18086,26964,Texas,US,2020-03-25,1229.0,15.0
18087,26965,Texas,US,2020-03-26,1563.0,21.0
18088,26966,Texas,US,2020-03-27,1937.0,26.0
18089,26967,Texas,US,2020-03-28,2455.0,30.0
