,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
18157,27101,Vermont,US,2020-01-22,0.0,0.0
18158,27102,Vermont,US,2020-01-23,0.0,0.0
18159,27103,Vermont,US,2020-01-24,0.0,0.0
18160,27104,Vermont,US,2020-01-25,0.0,0.0
18161,27105,Vermont,US,2020-01-26,0.0,0.0
18162,27106,Vermont,US,2020-01-27,0.0,0.0
18163,27107,Vermont,US,2020-01-28,0.0,0.0
18164,27108,Vermont,US,2020-01-29,0.0,0.0
18165,27109,Vermont,US,2020-01-30,0.0,0.0
18166,27110,Vermont,US,2020-01-31,0.0,0.0
18167,27111,Vermont,US,2020-02-01,0.0,0.0
18168,27112,Vermont,US,2020-02-02,0.0,0.0
18169,27113,Vermont,US,2020-02-03,0.0,0.0
18170,27114,Vermont,US,2020-02-04,0.0,0.0
18171,27115,Vermont,US,2020-02-05,0.0,0.0
18172,27116,Vermont,US,2020-02-06,0.0,0.0
18173,27117,Vermont,US,2020-02-07,0.0,0.0
18174,27118,Vermont,US,2020-02-08,0.0,0.0
18175,27119,Vermont,US,2020-02-09,0.0,0.0
18176,27120,Vermont,US,2020-02-10,0.0,0.0
18177,27121,Vermont,US,2020-02-11,0.0,0.0
18178,27122,Vermont,US,2020-02-12,0.0,0.0
18179,27123,Vermont,US,2020-02-13,0.0,0.0
18180,27124,Vermont,US,2020-02-14,0.0,0.0
18181,27125,Vermont,US,2020-02-15,0.0,0.0
18182,27126,Vermont,US,2020-02-16,0.0,0.0
18183,27127,Vermont,US,2020-02-17,0.0,0.0
18184,27128,Vermont,US,2020-02-18,0.0,0.0
18185,27129,Vermont,US,2020-02-19,0.0,0.0
18186,27130,Vermont,US,2020-02-20,0.0,0.0
18187,27131,Vermont,US,2020-02-21,0.0,0.0
18188,27132,Vermont,US,2020-02-22,0.0,0.0
18189,27133,Vermont,US,2020-02-23,0.0,0.0
18190,27134,Vermont,US,2020-02-24,0.0,0.0
18191,27135,Vermont,US,2020-02-25,0.0,0.0
18192,27136,Vermont,US,2020-02-26,0.0,0.0
18193,27137,Vermont,US,2020-02-27,0.0,0.0
18194,27138,Vermont,US,2020-02-28,0.0,0.0
18195,27139,Vermont,US,2020-02-29,0.0,0.0
18196,27140,Vermont,US,2020-03-01,0.0,0.0
18197,27141,Vermont,US,2020-03-02,0.0,0.0
18198,27142,Vermont,US,2020-03-03,0.0,0.0
18199,27143,Vermont,US,2020-03-04,0.0,0.0
18200,27144,Vermont,US,2020-03-05,0.0,0.0
18201,27145,Vermont,US,2020-03-06,0.0,0.0
18202,27146,Vermont,US,2020-03-07,0.0,0.0
18203,27147,Vermont,US,2020-03-08,0.0,0.0
18204,27148,Vermont,US,2020-03-09,0.0,0.0
18205,27149,Vermont,US,2020-03-10,1.0,0.0
18206,27150,Vermont,US,2020-03-11,1.0,0.0
18207,27151,Vermont,US,2020-03-12,2.0,0.0
18208,27152,Vermont,US,2020-03-13,2.0,0.0
18209,27153,Vermont,US,2020-03-14,5.0,0.0
18210,27154,Vermont,US,2020-03-15,8.0,0.0
18211,27155,Vermont,US,2020-03-16,12.0,0.0
18212,27156,Vermont,US,2020-03-17,12.0,0.0
18213,27157,Vermont,US,2020-03-18,18.0,0.0
18214,27158,Vermont,US,2020-03-19,22.0,0.0
18215,27159,Vermont,US,2020-03-20,29.0,2.0
18216,27160,Vermont,US,2020-03-21,29.0,2.0
18217,27161,Vermont,US,2020-03-22,52.0,2.0
18218,27162,Vermont,US,2020-03-23,75.0,5.0
18219,27163,Vermont,US,2020-03-24,95.0,7.0
18220,27164,Vermont,US,2020-03-25,125.0,8.0
18221,27165,Vermont,US,2020-03-26,158.0,9.0
18222,27166,Vermont,US,2020-03-27,184.0,10.0
18223,27167,Vermont,US,2020-03-28,211.0,12.0
