,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
18224,27201,Virgin Islands,US,2020-01-22,0.0,0.0
18225,27202,Virgin Islands,US,2020-01-23,0.0,0.0
18226,27203,Virgin Islands,US,2020-01-24,0.0,0.0
18227,27204,Virgin Islands,US,2020-01-25,0.0,0.0
18228,27205,Virgin Islands,US,2020-01-26,0.0,0.0
18229,27206,Virgin Islands,US,2020-01-27,0.0,0.0
18230,27207,Virgin Islands,US,2020-01-28,0.0,0.0
18231,27208,Virgin Islands,US,2020-01-29,0.0,0.0
18232,27209,Virgin Islands,US,2020-01-30,0.0,0.0
18233,27210,Virgin Islands,US,2020-01-31,0.0,0.0
18234,27211,Virgin Islands,US,2020-02-01,0.0,0.0
18235,27212,Virgin Islands,US,2020-02-02,0.0,0.0
18236,27213,Virgin Islands,US,2020-02-03,0.0,0.0
18237,27214,Virgin Islands,US,2020-02-04,0.0,0.0
18238,27215,Virgin Islands,US,2020-02-05,0.0,0.0
18239,27216,Virgin Islands,US,2020-02-06,0.0,0.0
18240,27217,Virgin Islands,US,2020-02-07,0.0,0.0
18241,27218,Virgin Islands,US,2020-02-08,0.0,0.0
18242,27219,Virgin Islands,US,2020-02-09,0.0,0.0
18243,27220,Virgin Islands,US,2020-02-10,0.0,0.0
18244,27221,Virgin Islands,US,2020-02-11,0.0,0.0
18245,27222,Virgin Islands,US,2020-02-12,0.0,0.0
18246,27223,Virgin Islands,US,2020-02-13,0.0,0.0
18247,27224,Virgin Islands,US,2020-02-14,0.0,0.0
18248,27225,Virgin Islands,US,2020-02-15,0.0,0.0
18249,27226,Virgin Islands,US,2020-02-16,0.0,0.0
18250,27227,Virgin Islands,US,2020-02-17,0.0,0.0
18251,27228,Virgin Islands,US,2020-02-18,0.0,0.0
18252,27229,Virgin Islands,US,2020-02-19,0.0,0.0
18253,27230,Virgin Islands,US,2020-02-20,0.0,0.0
18254,27231,Virgin Islands,US,2020-02-21,0.0,0.0
18255,27232,Virgin Islands,US,2020-02-22,0.0,0.0
18256,27233,Virgin Islands,US,2020-02-23,0.0,0.0
18257,27234,Virgin Islands,US,2020-02-24,0.0,0.0
18258,27235,Virgin Islands,US,2020-02-25,0.0,0.0
18259,27236,Virgin Islands,US,2020-02-26,0.0,0.0
18260,27237,Virgin Islands,US,2020-02-27,0.0,0.0
18261,27238,Virgin Islands,US,2020-02-28,0.0,0.0
18262,27239,Virgin Islands,US,2020-02-29,0.0,0.0
18263,27240,Virgin Islands,US,2020-03-01,0.0,0.0
18264,27241,Virgin Islands,US,2020-03-02,0.0,0.0
18265,27242,Virgin Islands,US,2020-03-03,0.0,0.0
18266,27243,Virgin Islands,US,2020-03-04,0.0,0.0
18267,27244,Virgin Islands,US,2020-03-05,0.0,0.0
18268,27245,Virgin Islands,US,2020-03-06,0.0,0.0
18269,27246,Virgin Islands,US,2020-03-07,0.0,0.0
18270,27247,Virgin Islands,US,2020-03-08,0.0,0.0
18271,27248,Virgin Islands,US,2020-03-09,0.0,0.0
18272,27249,Virgin Islands,US,2020-03-10,0.0,0.0
18273,27250,Virgin Islands,US,2020-03-11,0.0,0.0
18274,27251,Virgin Islands,US,2020-03-12,0.0,0.0
18275,27252,Virgin Islands,US,2020-03-13,0.0,0.0
18276,27253,Virgin Islands,US,2020-03-14,0.0,0.0
18277,27254,Virgin Islands,US,2020-03-15,0.0,0.0
18278,27255,Virgin Islands,US,2020-03-16,1.0,0.0
18279,27256,Virgin Islands,US,2020-03-17,2.0,0.0
18280,27257,Virgin Islands,US,2020-03-18,2.0,0.0
18281,27258,Virgin Islands,US,2020-03-19,3.0,0.0
18282,27259,Virgin Islands,US,2020-03-20,0.0,0.0
18283,27260,Virgin Islands,US,2020-03-21,0.0,0.0
18284,27261,Virgin Islands,US,2020-03-22,6.0,0.0
18285,27262,Virgin Islands,US,2020-03-23,7.0,0.0
18286,27263,Virgin Islands,US,2020-03-24,17.0,0.0
18287,27264,Virgin Islands,US,2020-03-25,17.0,0.0
18288,27265,Virgin Islands,US,2020-03-26,17.0,0.0
18289,27266,Virgin Islands,US,2020-03-27,19.0,0.0
18290,27267,Virgin Islands,US,2020-03-28,22.0,0.0
