,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
18291,27301,Virginia,US,2020-01-22,0.0,0.0
18292,27302,Virginia,US,2020-01-23,0.0,0.0
18293,27303,Virginia,US,2020-01-24,0.0,0.0
18294,27304,Virginia,US,2020-01-25,0.0,0.0
18295,27305,Virginia,US,2020-01-26,0.0,0.0
18296,27306,Virginia,US,2020-01-27,0.0,0.0
18297,27307,Virginia,US,2020-01-28,0.0,0.0
18298,27308,Virginia,US,2020-01-29,0.0,0.0
18299,27309,Virginia,US,2020-01-30,0.0,0.0
18300,27310,Virginia,US,2020-01-31,0.0,0.0
18301,27311,Virginia,US,2020-02-01,0.0,0.0
18302,27312,Virginia,US,2020-02-02,0.0,0.0
18303,27313,Virginia,US,2020-02-03,0.0,0.0
18304,27314,Virginia,US,2020-02-04,0.0,0.0
18305,27315,Virginia,US,2020-02-05,0.0,0.0
18306,27316,Virginia,US,2020-02-06,0.0,0.0
18307,27317,Virginia,US,2020-02-07,0.0,0.0
18308,27318,Virginia,US,2020-02-08,0.0,0.0
18309,27319,Virginia,US,2020-02-09,0.0,0.0
18310,27320,Virginia,US,2020-02-10,0.0,0.0
18311,27321,Virginia,US,2020-02-11,0.0,0.0
18312,27322,Virginia,US,2020-02-12,0.0,0.0
18313,27323,Virginia,US,2020-02-13,0.0,0.0
18314,27324,Virginia,US,2020-02-14,0.0,0.0
18315,27325,Virginia,US,2020-02-15,0.0,0.0
18316,27326,Virginia,US,2020-02-16,0.0,0.0
18317,27327,Virginia,US,2020-02-17,0.0,0.0
18318,27328,Virginia,US,2020-02-18,0.0,0.0
18319,27329,Virginia,US,2020-02-19,0.0,0.0
18320,27330,Virginia,US,2020-02-20,0.0,0.0
18321,27331,Virginia,US,2020-02-21,0.0,0.0
18322,27332,Virginia,US,2020-02-22,0.0,0.0
18323,27333,Virginia,US,2020-02-23,0.0,0.0
18324,27334,Virginia,US,2020-02-24,0.0,0.0
18325,27335,Virginia,US,2020-02-25,0.0,0.0
18326,27336,Virginia,US,2020-02-26,0.0,0.0
18327,27337,Virginia,US,2020-02-27,0.0,0.0
18328,27338,Virginia,US,2020-02-28,0.0,0.0
18329,27339,Virginia,US,2020-02-29,0.0,0.0
18330,27340,Virginia,US,2020-03-01,0.0,0.0
18331,27341,Virginia,US,2020-03-02,0.0,0.0
18332,27342,Virginia,US,2020-03-03,0.0,0.0
18333,27343,Virginia,US,2020-03-04,0.0,0.0
18334,27344,Virginia,US,2020-03-05,0.0,0.0
18335,27345,Virginia,US,2020-03-06,0.0,0.0
18336,27346,Virginia,US,2020-03-07,0.0,0.0
18337,27347,Virginia,US,2020-03-08,0.0,0.0
18338,27348,Virginia,US,2020-03-09,0.0,0.0
18339,27349,Virginia,US,2020-03-10,7.0,0.0
18340,27350,Virginia,US,2020-03-11,9.0,0.0
18341,27351,Virginia,US,2020-03-12,17.0,0.0
18342,27352,Virginia,US,2020-03-13,30.0,0.0
18343,27353,Virginia,US,2020-03-14,41.0,1.0
18344,27354,Virginia,US,2020-03-15,45.0,1.0
18345,27355,Virginia,US,2020-03-16,49.0,1.0
18346,27356,Virginia,US,2020-03-17,67.0,2.0
18347,27357,Virginia,US,2020-03-18,77.0,2.0
18348,27358,Virginia,US,2020-03-19,99.0,2.0
18349,27359,Virginia,US,2020-03-20,122.0,2.0
18350,27360,Virginia,US,2020-03-21,156.0,2.0
18351,27361,Virginia,US,2020-03-22,220.0,6.0
18352,27362,Virginia,US,2020-03-23,254.0,6.0
18353,27363,Virginia,US,2020-03-24,293.0,9.0
18354,27364,Virginia,US,2020-03-25,396.0,9.0
18355,27365,Virginia,US,2020-03-26,466.0,10.0
18356,27366,Virginia,US,2020-03-27,607.0,10.0
18357,27367,Virginia,US,2020-03-28,740.0,13.0
