,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
18425,27501,West Virginia,US,2020-01-22,0.0,0.0
18426,27502,West Virginia,US,2020-01-23,0.0,0.0
18427,27503,West Virginia,US,2020-01-24,0.0,0.0
18428,27504,West Virginia,US,2020-01-25,0.0,0.0
18429,27505,West Virginia,US,2020-01-26,0.0,0.0
18430,27506,West Virginia,US,2020-01-27,0.0,0.0
18431,27507,West Virginia,US,2020-01-28,0.0,0.0
18432,27508,West Virginia,US,2020-01-29,0.0,0.0
18433,27509,West Virginia,US,2020-01-30,0.0,0.0
18434,27510,West Virginia,US,2020-01-31,0.0,0.0
18435,27511,West Virginia,US,2020-02-01,0.0,0.0
18436,27512,West Virginia,US,2020-02-02,0.0,0.0
18437,27513,West Virginia,US,2020-02-03,0.0,0.0
18438,27514,West Virginia,US,2020-02-04,0.0,0.0
18439,27515,West Virginia,US,2020-02-05,0.0,0.0
18440,27516,West Virginia,US,2020-02-06,0.0,0.0
18441,27517,West Virginia,US,2020-02-07,0.0,0.0
18442,27518,West Virginia,US,2020-02-08,0.0,0.0
18443,27519,West Virginia,US,2020-02-09,0.0,0.0
18444,27520,West Virginia,US,2020-02-10,0.0,0.0
18445,27521,West Virginia,US,2020-02-11,0.0,0.0
18446,27522,West Virginia,US,2020-02-12,0.0,0.0
18447,27523,West Virginia,US,2020-02-13,0.0,0.0
18448,27524,West Virginia,US,2020-02-14,0.0,0.0
18449,27525,West Virginia,US,2020-02-15,0.0,0.0
18450,27526,West Virginia,US,2020-02-16,0.0,0.0
18451,27527,West Virginia,US,2020-02-17,0.0,0.0
18452,27528,West Virginia,US,2020-02-18,0.0,0.0
18453,27529,West Virginia,US,2020-02-19,0.0,0.0
18454,27530,West Virginia,US,2020-02-20,0.0,0.0
18455,27531,West Virginia,US,2020-02-21,0.0,0.0
18456,27532,West Virginia,US,2020-02-22,0.0,0.0
18457,27533,West Virginia,US,2020-02-23,0.0,0.0
18458,27534,West Virginia,US,2020-02-24,0.0,0.0
18459,27535,West Virginia,US,2020-02-25,0.0,0.0
18460,27536,West Virginia,US,2020-02-26,0.0,0.0
18461,27537,West Virginia,US,2020-02-27,0.0,0.0
18462,27538,West Virginia,US,2020-02-28,0.0,0.0
18463,27539,West Virginia,US,2020-02-29,0.0,0.0
18464,27540,West Virginia,US,2020-03-01,0.0,0.0
18465,27541,West Virginia,US,2020-03-02,0.0,0.0
18466,27542,West Virginia,US,2020-03-03,0.0,0.0
18467,27543,West Virginia,US,2020-03-04,0.0,0.0
18468,27544,West Virginia,US,2020-03-05,0.0,0.0
18469,27545,West Virginia,US,2020-03-06,0.0,0.0
18470,27546,West Virginia,US,2020-03-07,0.0,0.0
18471,27547,West Virginia,US,2020-03-08,0.0,0.0
18472,27548,West Virginia,US,2020-03-09,0.0,0.0
18473,27549,West Virginia,US,2020-03-10,0.0,0.0
18474,27550,West Virginia,US,2020-03-11,0.0,0.0
18475,27551,West Virginia,US,2020-03-12,0.0,0.0
18476,27552,West Virginia,US,2020-03-13,0.0,0.0
18477,27553,West Virginia,US,2020-03-14,0.0,0.0
18478,27554,West Virginia,US,2020-03-15,0.0,0.0
18479,27555,West Virginia,US,2020-03-16,0.0,0.0
18480,27556,West Virginia,US,2020-03-17,1.0,0.0
18481,27557,West Virginia,US,2020-03-18,1.0,0.0
18482,27558,West Virginia,US,2020-03-19,2.0,0.0
18483,27559,West Virginia,US,2020-03-20,7.0,0.0
18484,27560,West Virginia,US,2020-03-21,8.0,0.0
18485,27561,West Virginia,US,2020-03-22,16.0,0.0
18486,27562,West Virginia,US,2020-03-23,16.0,0.0
18487,27563,West Virginia,US,2020-03-24,22.0,0.0
18488,27564,West Virginia,US,2020-03-25,39.0,0.0
18489,27565,West Virginia,US,2020-03-26,52.0,0.0
18490,27566,West Virginia,US,2020-03-27,76.0,0.0
18491,27567,West Virginia,US,2020-03-28,96.0,0.0
