,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
18760,28001,,United Arab Emirates,2020-01-22,0.0,0.0
18761,28002,,United Arab Emirates,2020-01-23,0.0,0.0
18762,28003,,United Arab Emirates,2020-01-24,0.0,0.0
18763,28004,,United Arab Emirates,2020-01-25,0.0,0.0
18764,28005,,United Arab Emirates,2020-01-26,0.0,0.0
18765,28006,,United Arab Emirates,2020-01-27,0.0,0.0
18766,28007,,United Arab Emirates,2020-01-28,0.0,0.0
18767,28008,,United Arab Emirates,2020-01-29,4.0,0.0
18768,28009,,United Arab Emirates,2020-01-30,4.0,0.0
18769,28010,,United Arab Emirates,2020-01-31,4.0,0.0
18770,28011,,United Arab Emirates,2020-02-01,4.0,0.0
18771,28012,,United Arab Emirates,2020-02-02,5.0,0.0
18772,28013,,United Arab Emirates,2020-02-03,5.0,0.0
18773,28014,,United Arab Emirates,2020-02-04,5.0,0.0
18774,28015,,United Arab Emirates,2020-02-05,5.0,0.0
18775,28016,,United Arab Emirates,2020-02-06,5.0,0.0
18776,28017,,United Arab Emirates,2020-02-07,5.0,0.0
18777,28018,,United Arab Emirates,2020-02-08,7.0,0.0
18778,28019,,United Arab Emirates,2020-02-09,7.0,0.0
18779,28020,,United Arab Emirates,2020-02-10,8.0,0.0
18780,28021,,United Arab Emirates,2020-02-11,8.0,0.0
18781,28022,,United Arab Emirates,2020-02-12,8.0,0.0
18782,28023,,United Arab Emirates,2020-02-13,8.0,0.0
18783,28024,,United Arab Emirates,2020-02-14,8.0,0.0
18784,28025,,United Arab Emirates,2020-02-15,8.0,0.0
18785,28026,,United Arab Emirates,2020-02-16,9.0,0.0
18786,28027,,United Arab Emirates,2020-02-17,9.0,0.0
18787,28028,,United Arab Emirates,2020-02-18,9.0,0.0
18788,28029,,United Arab Emirates,2020-02-19,9.0,0.0
18789,28030,,United Arab Emirates,2020-02-20,9.0,0.0
18790,28031,,United Arab Emirates,2020-02-21,9.0,0.0
18791,28032,,United Arab Emirates,2020-02-22,13.0,0.0
18792,28033,,United Arab Emirates,2020-02-23,13.0,0.0
18793,28034,,United Arab Emirates,2020-02-24,13.0,0.0
18794,28035,,United Arab Emirates,2020-02-25,13.0,0.0
18795,28036,,United Arab Emirates,2020-02-26,13.0,0.0
18796,28037,,United Arab Emirates,2020-02-27,13.0,0.0
18797,28038,,United Arab Emirates,2020-02-28,19.0,0.0
18798,28039,,United Arab Emirates,2020-02-29,21.0,0.0
18799,28040,,United Arab Emirates,2020-03-01,21.0,0.0
18800,28041,,United Arab Emirates,2020-03-02,21.0,0.0
18801,28042,,United Arab Emirates,2020-03-03,27.0,0.0
18802,28043,,United Arab Emirates,2020-03-04,27.0,0.0
18803,28044,,United Arab Emirates,2020-03-05,29.0,0.0
18804,28045,,United Arab Emirates,2020-03-06,29.0,0.0
18805,28046,,United Arab Emirates,2020-03-07,45.0,0.0
18806,28047,,United Arab Emirates,2020-03-08,45.0,0.0
18807,28048,,United Arab Emirates,2020-03-09,45.0,0.0
18808,28049,,United Arab Emirates,2020-03-10,74.0,0.0
18809,28050,,United Arab Emirates,2020-03-11,74.0,0.0
18810,28051,,United Arab Emirates,2020-03-12,85.0,0.0
18811,28052,,United Arab Emirates,2020-03-13,85.0,0.0
18812,28053,,United Arab Emirates,2020-03-14,85.0,0.0
18813,28054,,United Arab Emirates,2020-03-15,98.0,0.0
18814,28055,,United Arab Emirates,2020-03-16,98.0,0.0
18815,28056,,United Arab Emirates,2020-03-17,98.0,0.0
18816,28057,,United Arab Emirates,2020-03-18,113.0,0.0
18817,28058,,United Arab Emirates,2020-03-19,140.0,0.0
18818,28059,,United Arab Emirates,2020-03-20,140.0,2.0
18819,28060,,United Arab Emirates,2020-03-21,153.0,2.0
18820,28061,,United Arab Emirates,2020-03-22,153.0,2.0
18821,28062,,United Arab Emirates,2020-03-23,198.0,2.0
18822,28063,,United Arab Emirates,2020-03-24,248.0,2.0
18823,28064,,United Arab Emirates,2020-03-25,333.0,2.0
18824,28065,,United Arab Emirates,2020-03-26,333.0,2.0
18825,28066,,United Arab Emirates,2020-03-27,405.0,2.0
18826,28067,,United Arab Emirates,2020-03-28,468.0,2.0
