,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
18961,28301,Channel Islands,United Kingdom,2020-01-22,0.0,0.0
18962,28302,Channel Islands,United Kingdom,2020-01-23,0.0,0.0
18963,28303,Channel Islands,United Kingdom,2020-01-24,0.0,0.0
18964,28304,Channel Islands,United Kingdom,2020-01-25,0.0,0.0
18965,28305,Channel Islands,United Kingdom,2020-01-26,0.0,0.0
18966,28306,Channel Islands,United Kingdom,2020-01-27,0.0,0.0
18967,28307,Channel Islands,United Kingdom,2020-01-28,0.0,0.0
18968,28308,Channel Islands,United Kingdom,2020-01-29,0.0,0.0
18969,28309,Channel Islands,United Kingdom,2020-01-30,0.0,0.0
18970,28310,Channel Islands,United Kingdom,2020-01-31,0.0,0.0
18971,28311,Channel Islands,United Kingdom,2020-02-01,0.0,0.0
18972,28312,Channel Islands,United Kingdom,2020-02-02,0.0,0.0
18973,28313,Channel Islands,United Kingdom,2020-02-03,0.0,0.0
18974,28314,Channel Islands,United Kingdom,2020-02-04,0.0,0.0
18975,28315,Channel Islands,United Kingdom,2020-02-05,0.0,0.0
18976,28316,Channel Islands,United Kingdom,2020-02-06,0.0,0.0
18977,28317,Channel Islands,United Kingdom,2020-02-07,0.0,0.0
18978,28318,Channel Islands,United Kingdom,2020-02-08,0.0,0.0
18979,28319,Channel Islands,United Kingdom,2020-02-09,0.0,0.0
18980,28320,Channel Islands,United Kingdom,2020-02-10,0.0,0.0
18981,28321,Channel Islands,United Kingdom,2020-02-11,0.0,0.0
18982,28322,Channel Islands,United Kingdom,2020-02-12,0.0,0.0
18983,28323,Channel Islands,United Kingdom,2020-02-13,0.0,0.0
18984,28324,Channel Islands,United Kingdom,2020-02-14,0.0,0.0
18985,28325,Channel Islands,United Kingdom,2020-02-15,0.0,0.0
18986,28326,Channel Islands,United Kingdom,2020-02-16,0.0,0.0
18987,28327,Channel Islands,United Kingdom,2020-02-17,0.0,0.0
18988,28328,Channel Islands,United Kingdom,2020-02-18,0.0,0.0
18989,28329,Channel Islands,United Kingdom,2020-02-19,0.0,0.0
18990,28330,Channel Islands,United Kingdom,2020-02-20,0.0,0.0
18991,28331,Channel Islands,United Kingdom,2020-02-21,0.0,0.0
18992,28332,Channel Islands,United Kingdom,2020-02-22,0.0,0.0
18993,28333,Channel Islands,United Kingdom,2020-02-23,0.0,0.0
18994,28334,Channel Islands,United Kingdom,2020-02-24,0.0,0.0
18995,28335,Channel Islands,United Kingdom,2020-02-25,0.0,0.0
18996,28336,Channel Islands,United Kingdom,2020-02-26,0.0,0.0
18997,28337,Channel Islands,United Kingdom,2020-02-27,0.0,0.0
18998,28338,Channel Islands,United Kingdom,2020-02-28,0.0,0.0
18999,28339,Channel Islands,United Kingdom,2020-02-29,0.0,0.0
19000,28340,Channel Islands,United Kingdom,2020-03-01,0.0,0.0
19001,28341,Channel Islands,United Kingdom,2020-03-02,0.0,0.0
19002,28342,Channel Islands,United Kingdom,2020-03-03,0.0,0.0
19003,28343,Channel Islands,United Kingdom,2020-03-04,0.0,0.0
19004,28344,Channel Islands,United Kingdom,2020-03-05,0.0,0.0
19005,28345,Channel Islands,United Kingdom,2020-03-06,0.0,0.0
19006,28346,Channel Islands,United Kingdom,2020-03-07,0.0,0.0
19007,28347,Channel Islands,United Kingdom,2020-03-08,0.0,0.0
19008,28348,Channel Islands,United Kingdom,2020-03-09,0.0,0.0
19009,28349,Channel Islands,United Kingdom,2020-03-10,1.0,0.0
19010,28350,Channel Islands,United Kingdom,2020-03-11,2.0,0.0
19011,28351,Channel Islands,United Kingdom,2020-03-12,2.0,0.0
19012,28352,Channel Islands,United Kingdom,2020-03-13,2.0,0.0
19013,28353,Channel Islands,United Kingdom,2020-03-14,2.0,0.0
19014,28354,Channel Islands,United Kingdom,2020-03-15,3.0,0.0
19015,28355,Channel Islands,United Kingdom,2020-03-16,6.0,0.0
19016,28356,Channel Islands,United Kingdom,2020-03-17,6.0,0.0
19017,28357,Channel Islands,United Kingdom,2020-03-18,6.0,0.0
19018,28358,Channel Islands,United Kingdom,2020-03-19,11.0,0.0
19019,28359,Channel Islands,United Kingdom,2020-03-20,14.0,0.0
19020,28360,Channel Islands,United Kingdom,2020-03-21,32.0,0.0
19021,28361,Channel Islands,United Kingdom,2020-03-22,32.0,0.0
19022,28362,Channel Islands,United Kingdom,2020-03-23,36.0,0.0
19023,28363,Channel Islands,United Kingdom,2020-03-24,36.0,0.0
19024,28364,Channel Islands,United Kingdom,2020-03-25,46.0,0.0
19025,28365,Channel Islands,United Kingdom,2020-03-26,66.0,1.0
19026,28366,Channel Islands,United Kingdom,2020-03-27,88.0,1.0
19027,28367,Channel Islands,United Kingdom,2020-03-28,97.0,1.0
