,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
19028,28401,Gibraltar,United Kingdom,2020-01-22,0.0,0.0
19029,28402,Gibraltar,United Kingdom,2020-01-23,0.0,0.0
19030,28403,Gibraltar,United Kingdom,2020-01-24,0.0,0.0
19031,28404,Gibraltar,United Kingdom,2020-01-25,0.0,0.0
19032,28405,Gibraltar,United Kingdom,2020-01-26,0.0,0.0
19033,28406,Gibraltar,United Kingdom,2020-01-27,0.0,0.0
19034,28407,Gibraltar,United Kingdom,2020-01-28,0.0,0.0
19035,28408,Gibraltar,United Kingdom,2020-01-29,0.0,0.0
19036,28409,Gibraltar,United Kingdom,2020-01-30,0.0,0.0
19037,28410,Gibraltar,United Kingdom,2020-01-31,0.0,0.0
19038,28411,Gibraltar,United Kingdom,2020-02-01,0.0,0.0
19039,28412,Gibraltar,United Kingdom,2020-02-02,0.0,0.0
19040,28413,Gibraltar,United Kingdom,2020-02-03,0.0,0.0
19041,28414,Gibraltar,United Kingdom,2020-02-04,0.0,0.0
19042,28415,Gibraltar,United Kingdom,2020-02-05,0.0,0.0
19043,28416,Gibraltar,United Kingdom,2020-02-06,0.0,0.0
19044,28417,Gibraltar,United Kingdom,2020-02-07,0.0,0.0
19045,28418,Gibraltar,United Kingdom,2020-02-08,0.0,0.0
19046,28419,Gibraltar,United Kingdom,2020-02-09,0.0,0.0
19047,28420,Gibraltar,United Kingdom,2020-02-10,0.0,0.0
19048,28421,Gibraltar,United Kingdom,2020-02-11,0.0,0.0
19049,28422,Gibraltar,United Kingdom,2020-02-12,0.0,0.0
19050,28423,Gibraltar,United Kingdom,2020-02-13,0.0,0.0
19051,28424,Gibraltar,United Kingdom,2020-02-14,0.0,0.0
19052,28425,Gibraltar,United Kingdom,2020-02-15,0.0,0.0
19053,28426,Gibraltar,United Kingdom,2020-02-16,0.0,0.0
19054,28427,Gibraltar,United Kingdom,2020-02-17,0.0,0.0
19055,28428,Gibraltar,United Kingdom,2020-02-18,0.0,0.0
19056,28429,Gibraltar,United Kingdom,2020-02-19,0.0,0.0
19057,28430,Gibraltar,United Kingdom,2020-02-20,0.0,0.0
19058,28431,Gibraltar,United Kingdom,2020-02-21,0.0,0.0
19059,28432,Gibraltar,United Kingdom,2020-02-22,0.0,0.0
19060,28433,Gibraltar,United Kingdom,2020-02-23,0.0,0.0
19061,28434,Gibraltar,United Kingdom,2020-02-24,0.0,0.0
19062,28435,Gibraltar,United Kingdom,2020-02-25,0.0,0.0
19063,28436,Gibraltar,United Kingdom,2020-02-26,0.0,0.0
19064,28437,Gibraltar,United Kingdom,2020-02-27,0.0,0.0
19065,28438,Gibraltar,United Kingdom,2020-02-28,0.0,0.0
19066,28439,Gibraltar,United Kingdom,2020-02-29,0.0,0.0
19067,28440,Gibraltar,United Kingdom,2020-03-01,0.0,0.0
19068,28441,Gibraltar,United Kingdom,2020-03-02,0.0,0.0
19069,28442,Gibraltar,United Kingdom,2020-03-03,0.0,0.0
19070,28443,Gibraltar,United Kingdom,2020-03-04,1.0,0.0
19071,28444,Gibraltar,United Kingdom,2020-03-05,1.0,0.0
19072,28445,Gibraltar,United Kingdom,2020-03-06,1.0,0.0
19073,28446,Gibraltar,United Kingdom,2020-03-07,1.0,0.0
19074,28447,Gibraltar,United Kingdom,2020-03-08,1.0,0.0
19075,28448,Gibraltar,United Kingdom,2020-03-09,1.0,0.0
19076,28449,Gibraltar,United Kingdom,2020-03-10,1.0,0.0
19077,28450,Gibraltar,United Kingdom,2020-03-11,1.0,0.0
19078,28451,Gibraltar,United Kingdom,2020-03-12,1.0,0.0
19079,28452,Gibraltar,United Kingdom,2020-03-13,1.0,0.0
19080,28453,Gibraltar,United Kingdom,2020-03-14,1.0,0.0
19081,28454,Gibraltar,United Kingdom,2020-03-15,1.0,0.0
19082,28455,Gibraltar,United Kingdom,2020-03-16,1.0,0.0
19083,28456,Gibraltar,United Kingdom,2020-03-17,3.0,0.0
19084,28457,Gibraltar,United Kingdom,2020-03-18,8.0,0.0
19085,28458,Gibraltar,United Kingdom,2020-03-19,10.0,0.0
19086,28459,Gibraltar,United Kingdom,2020-03-20,10.0,0.0
19087,28460,Gibraltar,United Kingdom,2020-03-21,10.0,0.0
19088,28461,Gibraltar,United Kingdom,2020-03-22,15.0,0.0
19089,28462,Gibraltar,United Kingdom,2020-03-23,15.0,0.0
19090,28463,Gibraltar,United Kingdom,2020-03-24,15.0,0.0
19091,28464,Gibraltar,United Kingdom,2020-03-25,26.0,0.0
19092,28465,Gibraltar,United Kingdom,2020-03-26,35.0,0.0
19093,28466,Gibraltar,United Kingdom,2020-03-27,55.0,0.0
19094,28467,Gibraltar,United Kingdom,2020-03-28,56.0,0.0
