,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
19229,28701,,United Kingdom,2020-01-22,0.0,0.0
19230,28702,,United Kingdom,2020-01-23,0.0,0.0
19231,28703,,United Kingdom,2020-01-24,0.0,0.0
19232,28704,,United Kingdom,2020-01-25,0.0,0.0
19233,28705,,United Kingdom,2020-01-26,0.0,0.0
19234,28706,,United Kingdom,2020-01-27,0.0,0.0
19235,28707,,United Kingdom,2020-01-28,0.0,0.0
19236,28708,,United Kingdom,2020-01-29,0.0,0.0
19237,28709,,United Kingdom,2020-01-30,0.0,0.0
19238,28710,,United Kingdom,2020-01-31,2.0,0.0
19239,28711,,United Kingdom,2020-02-01,2.0,0.0
19240,28712,,United Kingdom,2020-02-02,2.0,0.0
19241,28713,,United Kingdom,2020-02-03,2.0,0.0
19242,28714,,United Kingdom,2020-02-04,2.0,0.0
19243,28715,,United Kingdom,2020-02-05,2.0,0.0
19244,28716,,United Kingdom,2020-02-06,2.0,0.0
19245,28717,,United Kingdom,2020-02-07,3.0,0.0
19246,28718,,United Kingdom,2020-02-08,3.0,0.0
19247,28719,,United Kingdom,2020-02-09,3.0,0.0
19248,28720,,United Kingdom,2020-02-10,8.0,0.0
19249,28721,,United Kingdom,2020-02-11,8.0,0.0
19250,28722,,United Kingdom,2020-02-12,9.0,0.0
19251,28723,,United Kingdom,2020-02-13,9.0,0.0
19252,28724,,United Kingdom,2020-02-14,9.0,0.0
19253,28725,,United Kingdom,2020-02-15,9.0,0.0
19254,28726,,United Kingdom,2020-02-16,9.0,0.0
19255,28727,,United Kingdom,2020-02-17,9.0,0.0
19256,28728,,United Kingdom,2020-02-18,9.0,0.0
19257,28729,,United Kingdom,2020-02-19,9.0,0.0
19258,28730,,United Kingdom,2020-02-20,9.0,0.0
19259,28731,,United Kingdom,2020-02-21,9.0,0.0
19260,28732,,United Kingdom,2020-02-22,9.0,0.0
19261,28733,,United Kingdom,2020-02-23,9.0,0.0
19262,28734,,United Kingdom,2020-02-24,13.0,0.0
19263,28735,,United Kingdom,2020-02-25,13.0,0.0
19264,28736,,United Kingdom,2020-02-26,13.0,0.0
19265,28737,,United Kingdom,2020-02-27,15.0,0.0
19266,28738,,United Kingdom,2020-02-28,20.0,0.0
19267,28739,,United Kingdom,2020-02-29,23.0,0.0
19268,28740,,United Kingdom,2020-03-01,36.0,0.0
19269,28741,,United Kingdom,2020-03-02,40.0,0.0
19270,28742,,United Kingdom,2020-03-03,51.0,0.0
19271,28743,,United Kingdom,2020-03-04,85.0,0.0
19272,28744,,United Kingdom,2020-03-05,115.0,1.0
19273,28745,,United Kingdom,2020-03-06,163.0,2.0
19274,28746,,United Kingdom,2020-03-07,206.0,2.0
19275,28747,,United Kingdom,2020-03-08,273.0,3.0
19276,28748,,United Kingdom,2020-03-09,321.0,4.0
19277,28749,,United Kingdom,2020-03-10,382.0,6.0
19278,28750,,United Kingdom,2020-03-11,456.0,8.0
19279,28751,,United Kingdom,2020-03-12,456.0,8.0
19280,28752,,United Kingdom,2020-03-13,798.0,8.0
19281,28753,,United Kingdom,2020-03-14,1140.0,21.0
19282,28754,,United Kingdom,2020-03-15,1140.0,21.0
19283,28755,,United Kingdom,2020-03-16,1543.0,55.0
19284,28756,,United Kingdom,2020-03-17,1950.0,55.0
19285,28757,,United Kingdom,2020-03-18,2626.0,71.0
19286,28758,,United Kingdom,2020-03-19,2689.0,137.0
19287,28759,,United Kingdom,2020-03-20,3983.0,177.0
19288,28760,,United Kingdom,2020-03-21,5018.0,233.0
19289,28761,,United Kingdom,2020-03-22,5683.0,281.0
19290,28762,,United Kingdom,2020-03-23,6650.0,335.0
19291,28763,,United Kingdom,2020-03-24,8077.0,422.0
19292,28764,,United Kingdom,2020-03-25,9529.0,465.0
19293,28765,,United Kingdom,2020-03-26,11658.0,578.0
19294,28766,,United Kingdom,2020-03-27,14543.0,759.0
19295,28767,,United Kingdom,2020-03-28,17089.0,1019.0
