,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
19296,28801,,Uruguay,2020-01-22,0.0,0.0
19297,28802,,Uruguay,2020-01-23,0.0,0.0
19298,28803,,Uruguay,2020-01-24,0.0,0.0
19299,28804,,Uruguay,2020-01-25,0.0,0.0
19300,28805,,Uruguay,2020-01-26,0.0,0.0
19301,28806,,Uruguay,2020-01-27,0.0,0.0
19302,28807,,Uruguay,2020-01-28,0.0,0.0
19303,28808,,Uruguay,2020-01-29,0.0,0.0
19304,28809,,Uruguay,2020-01-30,0.0,0.0
19305,28810,,Uruguay,2020-01-31,0.0,0.0
19306,28811,,Uruguay,2020-02-01,0.0,0.0
19307,28812,,Uruguay,2020-02-02,0.0,0.0
19308,28813,,Uruguay,2020-02-03,0.0,0.0
19309,28814,,Uruguay,2020-02-04,0.0,0.0
19310,28815,,Uruguay,2020-02-05,0.0,0.0
19311,28816,,Uruguay,2020-02-06,0.0,0.0
19312,28817,,Uruguay,2020-02-07,0.0,0.0
19313,28818,,Uruguay,2020-02-08,0.0,0.0
19314,28819,,Uruguay,2020-02-09,0.0,0.0
19315,28820,,Uruguay,2020-02-10,0.0,0.0
19316,28821,,Uruguay,2020-02-11,0.0,0.0
19317,28822,,Uruguay,2020-02-12,0.0,0.0
19318,28823,,Uruguay,2020-02-13,0.0,0.0
19319,28824,,Uruguay,2020-02-14,0.0,0.0
19320,28825,,Uruguay,2020-02-15,0.0,0.0
19321,28826,,Uruguay,2020-02-16,0.0,0.0
19322,28827,,Uruguay,2020-02-17,0.0,0.0
19323,28828,,Uruguay,2020-02-18,0.0,0.0
19324,28829,,Uruguay,2020-02-19,0.0,0.0
19325,28830,,Uruguay,2020-02-20,0.0,0.0
19326,28831,,Uruguay,2020-02-21,0.0,0.0
19327,28832,,Uruguay,2020-02-22,0.0,0.0
19328,28833,,Uruguay,2020-02-23,0.0,0.0
19329,28834,,Uruguay,2020-02-24,0.0,0.0
19330,28835,,Uruguay,2020-02-25,0.0,0.0
19331,28836,,Uruguay,2020-02-26,0.0,0.0
19332,28837,,Uruguay,2020-02-27,0.0,0.0
19333,28838,,Uruguay,2020-02-28,0.0,0.0
19334,28839,,Uruguay,2020-02-29,0.0,0.0
19335,28840,,Uruguay,2020-03-01,0.0,0.0
19336,28841,,Uruguay,2020-03-02,0.0,0.0
19337,28842,,Uruguay,2020-03-03,0.0,0.0
19338,28843,,Uruguay,2020-03-04,0.0,0.0
19339,28844,,Uruguay,2020-03-05,0.0,0.0
19340,28845,,Uruguay,2020-03-06,0.0,0.0
19341,28846,,Uruguay,2020-03-07,0.0,0.0
19342,28847,,Uruguay,2020-03-08,0.0,0.0
19343,28848,,Uruguay,2020-03-09,0.0,0.0
19344,28849,,Uruguay,2020-03-10,0.0,0.0
19345,28850,,Uruguay,2020-03-11,0.0,0.0
19346,28851,,Uruguay,2020-03-12,0.0,0.0
19347,28852,,Uruguay,2020-03-13,0.0,0.0
19348,28853,,Uruguay,2020-03-14,4.0,0.0
19349,28854,,Uruguay,2020-03-15,4.0,0.0
19350,28855,,Uruguay,2020-03-16,8.0,0.0
19351,28856,,Uruguay,2020-03-17,29.0,0.0
19352,28857,,Uruguay,2020-03-18,50.0,0.0
19353,28858,,Uruguay,2020-03-19,79.0,0.0
19354,28859,,Uruguay,2020-03-20,94.0,0.0
19355,28860,,Uruguay,2020-03-21,110.0,0.0
19356,28861,,Uruguay,2020-03-22,158.0,0.0
19357,28862,,Uruguay,2020-03-23,162.0,0.0
19358,28863,,Uruguay,2020-03-24,162.0,0.0
19359,28864,,Uruguay,2020-03-25,189.0,0.0
19360,28865,,Uruguay,2020-03-26,217.0,0.0
19361,28866,,Uruguay,2020-03-27,238.0,0.0
19362,28867,,Uruguay,2020-03-28,274.0,0.0
