,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
19430,29001,,Venezuela,2020-01-22,0.0,0.0
19431,29002,,Venezuela,2020-01-23,0.0,0.0
19432,29003,,Venezuela,2020-01-24,0.0,0.0
19433,29004,,Venezuela,2020-01-25,0.0,0.0
19434,29005,,Venezuela,2020-01-26,0.0,0.0
19435,29006,,Venezuela,2020-01-27,0.0,0.0
19436,29007,,Venezuela,2020-01-28,0.0,0.0
19437,29008,,Venezuela,2020-01-29,0.0,0.0
19438,29009,,Venezuela,2020-01-30,0.0,0.0
19439,29010,,Venezuela,2020-01-31,0.0,0.0
19440,29011,,Venezuela,2020-02-01,0.0,0.0
19441,29012,,Venezuela,2020-02-02,0.0,0.0
19442,29013,,Venezuela,2020-02-03,0.0,0.0
19443,29014,,Venezuela,2020-02-04,0.0,0.0
19444,29015,,Venezuela,2020-02-05,0.0,0.0
19445,29016,,Venezuela,2020-02-06,0.0,0.0
19446,29017,,Venezuela,2020-02-07,0.0,0.0
19447,29018,,Venezuela,2020-02-08,0.0,0.0
19448,29019,,Venezuela,2020-02-09,0.0,0.0
19449,29020,,Venezuela,2020-02-10,0.0,0.0
19450,29021,,Venezuela,2020-02-11,0.0,0.0
19451,29022,,Venezuela,2020-02-12,0.0,0.0
19452,29023,,Venezuela,2020-02-13,0.0,0.0
19453,29024,,Venezuela,2020-02-14,0.0,0.0
19454,29025,,Venezuela,2020-02-15,0.0,0.0
19455,29026,,Venezuela,2020-02-16,0.0,0.0
19456,29027,,Venezuela,2020-02-17,0.0,0.0
19457,29028,,Venezuela,2020-02-18,0.0,0.0
19458,29029,,Venezuela,2020-02-19,0.0,0.0
19459,29030,,Venezuela,2020-02-20,0.0,0.0
19460,29031,,Venezuela,2020-02-21,0.0,0.0
19461,29032,,Venezuela,2020-02-22,0.0,0.0
19462,29033,,Venezuela,2020-02-23,0.0,0.0
19463,29034,,Venezuela,2020-02-24,0.0,0.0
19464,29035,,Venezuela,2020-02-25,0.0,0.0
19465,29036,,Venezuela,2020-02-26,0.0,0.0
19466,29037,,Venezuela,2020-02-27,0.0,0.0
19467,29038,,Venezuela,2020-02-28,0.0,0.0
19468,29039,,Venezuela,2020-02-29,0.0,0.0
19469,29040,,Venezuela,2020-03-01,0.0,0.0
19470,29041,,Venezuela,2020-03-02,0.0,0.0
19471,29042,,Venezuela,2020-03-03,0.0,0.0
19472,29043,,Venezuela,2020-03-04,0.0,0.0
19473,29044,,Venezuela,2020-03-05,0.0,0.0
19474,29045,,Venezuela,2020-03-06,0.0,0.0
19475,29046,,Venezuela,2020-03-07,0.0,0.0
19476,29047,,Venezuela,2020-03-08,0.0,0.0
19477,29048,,Venezuela,2020-03-09,0.0,0.0
19478,29049,,Venezuela,2020-03-10,0.0,0.0
19479,29050,,Venezuela,2020-03-11,0.0,0.0
19480,29051,,Venezuela,2020-03-12,0.0,0.0
19481,29052,,Venezuela,2020-03-13,0.0,0.0
19482,29053,,Venezuela,2020-03-14,2.0,0.0
19483,29054,,Venezuela,2020-03-15,10.0,0.0
19484,29055,,Venezuela,2020-03-16,17.0,0.0
19485,29056,,Venezuela,2020-03-17,33.0,0.0
19486,29057,,Venezuela,2020-03-18,36.0,0.0
19487,29058,,Venezuela,2020-03-19,42.0,0.0
19488,29059,,Venezuela,2020-03-20,42.0,0.0
19489,29060,,Venezuela,2020-03-21,70.0,0.0
19490,29061,,Venezuela,2020-03-22,70.0,0.0
19491,29062,,Venezuela,2020-03-23,77.0,0.0
19492,29063,,Venezuela,2020-03-24,84.0,0.0
19493,29064,,Venezuela,2020-03-25,91.0,0.0
19494,29065,,Venezuela,2020-03-26,107.0,0.0
19495,29066,,Venezuela,2020-03-27,107.0,1.0
19496,29067,,Venezuela,2020-03-28,119.0,2.0
