,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
19564,29201,,Zambia,2020-01-22,0.0,0.0
19565,29202,,Zambia,2020-01-23,0.0,0.0
19566,29203,,Zambia,2020-01-24,0.0,0.0
19567,29204,,Zambia,2020-01-25,0.0,0.0
19568,29205,,Zambia,2020-01-26,0.0,0.0
19569,29206,,Zambia,2020-01-27,0.0,0.0
19570,29207,,Zambia,2020-01-28,0.0,0.0
19571,29208,,Zambia,2020-01-29,0.0,0.0
19572,29209,,Zambia,2020-01-30,0.0,0.0
19573,29210,,Zambia,2020-01-31,0.0,0.0
19574,29211,,Zambia,2020-02-01,0.0,0.0
19575,29212,,Zambia,2020-02-02,0.0,0.0
19576,29213,,Zambia,2020-02-03,0.0,0.0
19577,29214,,Zambia,2020-02-04,0.0,0.0
19578,29215,,Zambia,2020-02-05,0.0,0.0
19579,29216,,Zambia,2020-02-06,0.0,0.0
19580,29217,,Zambia,2020-02-07,0.0,0.0
19581,29218,,Zambia,2020-02-08,0.0,0.0
19582,29219,,Zambia,2020-02-09,0.0,0.0
19583,29220,,Zambia,2020-02-10,0.0,0.0
19584,29221,,Zambia,2020-02-11,0.0,0.0
19585,29222,,Zambia,2020-02-12,0.0,0.0
19586,29223,,Zambia,2020-02-13,0.0,0.0
19587,29224,,Zambia,2020-02-14,0.0,0.0
19588,29225,,Zambia,2020-02-15,0.0,0.0
19589,29226,,Zambia,2020-02-16,0.0,0.0
19590,29227,,Zambia,2020-02-17,0.0,0.0
19591,29228,,Zambia,2020-02-18,0.0,0.0
19592,29229,,Zambia,2020-02-19,0.0,0.0
19593,29230,,Zambia,2020-02-20,0.0,0.0
19594,29231,,Zambia,2020-02-21,0.0,0.0
19595,29232,,Zambia,2020-02-22,0.0,0.0
19596,29233,,Zambia,2020-02-23,0.0,0.0
19597,29234,,Zambia,2020-02-24,0.0,0.0
19598,29235,,Zambia,2020-02-25,0.0,0.0
19599,29236,,Zambia,2020-02-26,0.0,0.0
19600,29237,,Zambia,2020-02-27,0.0,0.0
19601,29238,,Zambia,2020-02-28,0.0,0.0
19602,29239,,Zambia,2020-02-29,0.0,0.0
19603,29240,,Zambia,2020-03-01,0.0,0.0
19604,29241,,Zambia,2020-03-02,0.0,0.0
19605,29242,,Zambia,2020-03-03,0.0,0.0
19606,29243,,Zambia,2020-03-04,0.0,0.0
19607,29244,,Zambia,2020-03-05,0.0,0.0
19608,29245,,Zambia,2020-03-06,0.0,0.0
19609,29246,,Zambia,2020-03-07,0.0,0.0
19610,29247,,Zambia,2020-03-08,0.0,0.0
19611,29248,,Zambia,2020-03-09,0.0,0.0
19612,29249,,Zambia,2020-03-10,0.0,0.0
19613,29250,,Zambia,2020-03-11,0.0,0.0
19614,29251,,Zambia,2020-03-12,0.0,0.0
19615,29252,,Zambia,2020-03-13,0.0,0.0
19616,29253,,Zambia,2020-03-14,0.0,0.0
19617,29254,,Zambia,2020-03-15,0.0,0.0
19618,29255,,Zambia,2020-03-16,0.0,0.0
19619,29256,,Zambia,2020-03-17,0.0,0.0
19620,29257,,Zambia,2020-03-18,2.0,0.0
19621,29258,,Zambia,2020-03-19,2.0,0.0
19622,29259,,Zambia,2020-03-20,2.0,0.0
19623,29260,,Zambia,2020-03-21,2.0,0.0
19624,29261,,Zambia,2020-03-22,3.0,0.0
19625,29262,,Zambia,2020-03-23,3.0,0.0
19626,29263,,Zambia,2020-03-24,3.0,0.0
19627,29264,,Zambia,2020-03-25,12.0,0.0
19628,29265,,Zambia,2020-03-26,16.0,0.0
19629,29266,,Zambia,2020-03-27,22.0,0.0
19630,29267,,Zambia,2020-03-28,28.0,0.0
